id;name;description;year;rating;complexity;minplayers;maxplayers;playingtime;minage;categories;clean_description
1375;Guadalcanal;"Very Similar to Midway.&#10;&#10;The basic idea is each player has their own map of the area (in this case the Solomon Islands) behind a screen.  Each player &quot;searches&quot; for the enemy fleet by flying search planes to the hex and calling the hex number.  Once found, bombers can be sent in to sink the enemy fleet.  The actual attack is fought on a separate battle board where the ships are first placed on hexes and the attacking planes are placed in hexes to indicate which ship they are attacking.&#10;&#10;The basic game is very simple.  But there are many additional rules which add realism (and complexity): CAP fighters, surface actions, bases, inaccurate seach reports, etc.&#10;&#10;The game is superior with a neutral referee for true double-blind play.&#10;&#10;Note: The back of the box says 356 counters, but there are only 298 (1 of which is blank).&#10;&#10;";1992;6.54157;2.6;2;2;240;12;Nautical, Wargame, World War II;similar midway basic idea map area case solomon island screen search enemy fleet fly search plane hex call hex number find bomber send sink enemy fleet actual attack fight separate battle ship place hex attack plane place hex indicate ship attack basic simple additional add realism complexity cap fighter surface action basis inaccurate seach report etc superior neutral referee true double blind note box say blank
1377;Danger;"In Danger, players draw numbered and colored cards, trying to collect as many points as possible in each color each round without exceeding the limit of 15 points.&#10;&#10;On a turn, a player draws the top card from the deck and places it in front of her in a row for cards of that color; some cards are multicolor, and the player chooses in which row to play these cards. After laying a second card in the round, a player has the option of securing a row at the end of each turn. To secure a row, the player must not have the lowest total in that color when compared to the other players; the player secures a row by turning the last card in that row 90&ordm;. A player can secure only one row each turn.&#10;&#10;If a player exceeds a total of 15 points in a row, that row is now blocked and worth 0 points; the player turns those cards face-down.&#10;&#10;If a player draws a colored card for a row either secured or blocked, she must discard the card. The next player in turn order has the option of taking this discarded card instead of drawing randomly from the deck.&#10;&#10;Once the fourth row of any player is secured or blocked, the round ends immediately. Whoever has the fewest points in a color (with blocked rows worth 0 points) scores nothing for this color; all other players score points equal to the numbers showing in this color in their row. Players then empty their rows and continue playing with the cards remaining in the deck. After five complete rounds, the player with the highest total score wins.&#10;&#10;";2001;4.42288;1.125;3;5;30;8;Card Game;danger draw numbered colored card try collect possible color exceed limit draw card deck place row card color card multicolor choose row card lay second card option secure row end secure row low total color compare secure row card row ordm secure row exceed total row row block worth card face draw colored card row secured block discard card order option take discard card instead draw randomly deck fourth row secure block end immediately few color block row worth color equal number show color row row continue card remain deck complete high total
1379;Ebbe & Flut;"Who stops the water?&#10;Tides - the interplay of ebb and flow.&#10;Each player rules one of the tides and tries to use it profitably.&#10;But which is stronger? Does the land have the strength to defy the water, or does the final tide carry the day?&#10;&#10;&mdash;description from the publisher (translated)&#10;&#10;In this card game players build up cascades of moving cards across the playfield in order to get their cards to reach the final destination in the opposite corner.&#10;&#10;";2000;6.49334;1.9149;1;2;45;10;Abstract Strategy, Card Game;stop water tide interplay ebb flow tide try use profitably strong land strength defy water final tide carry day mdash description publisher translate card build cascade card playfield order card reach final destination opposite corner
1381;Pokémon Master Trainer;"Based on the Nintendo Pokemon franchise, each player becomes a Pokemon Trainer (represented by Ash Ketchum figures) making his way around the pre-made board map to get to Indigo Plateau where he can challenge the current, reigning Pokemon Champion (represented by cards) to a battle with the Pokemon he's collected on the trip there.  Item Cards give you or your creatures special powers and players can battle each other as well.&#10;&#10;";1999;5.98798;1.8659;2;6;45;7;Adventure, Card Game, Children's Game, Fantasy, Movies / TV / Radio theme, Video Game Theme;base nintendo pokemon franchise pokemon trainer represent ash ketchum figure make way pre map indigo plateau challenge current reign pokemon champion represent card battle pokemon collect trip item card creature special power battle
1383;Pool Party;"The game is cleverly packaged to look like a swimming pool about the size of a paperback book, and around the edge of the pool are 18 spaces.  The spaces are filled randomly with the 18 pawns, 3 each of 6 colors, and each player is secretly assigned a color.  Your turn consists of picking up one of the pawns, looking at the number (1, 2, or 3) on the bottom, and moving it that many spaces.  If it lands on another pawn, it pushes it into the pool!  Winner is the last pawn standing.&#10;&#10;";1999;6.33532;1.0;2;6;10;6;Party Game;cleverly package look like swimming pool size paperback book edge pool space space fill randomly pawn color secretly assign color consist pick pawn look number space land pawn push pool winner pawn stand
1385;Aber Hallo!;"From the rules translation (downloadable here):&#10;&#10;A tricky card game for 3 to 4 players from 10 years.&#10;&#10;All of us know how to play trick-taking games. And, usually, they have a trump color. But, if trump can change in every trick, watch out.  Don't lose sight of the big picture...&#10;&#10;The players try to get as many points as possible through skillful card play. However, the cards are worth points only if you also manage to grab chips of the corresponding color, too.&#10;&#10;";2000;6.02407;1.8333;3;4;0;10;Card Game;translation downloadable tricky card year know trick taking usually trump color trump change trick watch don t sight big picture try possible skillful card card worth manage grab chip corresponding color
1387;Alaska;"Players compete to collect their container blocks from a central island and return them across the ice sheet to their respective camps before the Spring thaw.&#10;&#10;The game runs in two parts; Winter as the players lay ice tiles across the hex board to the central island, and Spring as the thaw allows the players to remove ice tiles. In your turn, you draw from deck 1 which shows a 1,2 or 3 hex tile and a number on the winter/spring header/footer. After placing the tile in the hex-board, you then draw an action card from deck 2. Most are played immediately (Polar Bear, Frostbite, Found Container) but others you can save and use later (Robbery, Fog, Helicopter). Then the player can move their truck up to free places.&#10;&#10;A 3-hex ice tile counts as one space, so a player with a shorter route may profit early, but when the thaw comes, the other players can quickly remove the shortcut. The Polar Bear acts as a barrier and is often moved around. The other action cards can be beneficial (Found Container means you simply put a container in your truck where you are) or hinder you (Frostbite means you must drop the container and your truck jumps to your camp). Players can only rob dropped containers, not other trucks.&#10;&#10;The Spring thaw only comes when all the ice tiles that can be placed are down. You keep using deck 1, but simply read the alternative symbol for the thaw. There are fewer thaws, so the ice sheet stays active for some time, forcing players to make longer detours. You cannot remove an ice tile if it holds a truck or the bear, and tiles with dropped containers only go last. The game sort of stops when no containers can be collected, but since Helicopter action cards allow you to jump from place to place, the actual end-point is not precise.&#10;&#10;";1979;5.88974;1.4516;2;4;60;12;Transportation;compete collect container block central island return ice sheet respective camp spring thaw run part winter lie ice tile hex central island spring thaw allow remove ice tile draw deck show hex tile number winter spring header footer place tile hex draw action card deck immediately polar bear frostbite find container save use later robbery fog helicopter truck free place hex ice tile count space short route profit early thaw come quickly remove shortcut polar bear act barrier action card beneficial find container mean simply container truck hinder frostbite mean drop container truck jump camp rob drop container truck spring thaw come ice tile place deck simply read alternative symbol thaw few thaw ice sheet stay active time force long detour remove ice tile hold truck bear tile drop container sort stop container collect helicopter action card allow jump place place actual end precise
1389;Alles oder Nichts;"Game material&#10;48 playing cards&#10;42 trick indicator cards; 6 colored sets with values of 0 - 6&#10;1 scorepad&#10;1 pen&#10;1 rulebook&#10;&#10;Description of the game&#10;The main task of the 3 - 6 players is to correctly assess their cards. They use a trick indicator card to declare the number of tricks they expect to take. If they're right, they get a bonus. It's also up to the players to decide whether they will openly announce the tricks they expect to take or whether they keep it secret. But beware! A face-up trick indicator card increases the possibility that the other players will be able to influence the outcome. With increased risk it's true that you get: &quot;Alles oder Nichts (Double or Nothing)&quot;.&#10;&#10;A game last for seven rounds. Each player receives:&#10;in the 1st round - 6 cards&#10;in the 2nd round - 5 cards&#10;in the 3rd round - 4 cards&#10;in the 4th round - 3 cards&#10;in the 5th round - 4 cards&#10;in the 6th round - 5 cards&#10;in the 7th round - 6 cards&#10;&#10;After the cards are dealt, the dealer turns over the top card of the remaining cards. The color of this card is the trump color. After distributing the cards, players take the playing cards into their hand. Each player now judges for himself how many tricks he thinks he can take. Players select the appropriate card from their trick indicator cards and place it face-down in front of themselves&#10;&#10;Once all players have made their decision, the dealer, starting with the player to his left, asks each player if he wants to openly announce the number of tricks he plans to take (by turning over his trick indicator card) or if he wishes to keep it secret. Once each player has indicated his decision, the dealer asks the other players in clockwise order until all players, including the dealer have indicated their decision. Turning over the trick indicator card brings a higher risk but also potentially more points.&#10;&#10;Rules of play:&#10;&#10;Players must follow suit (play the same color as the card that was lead) if it is possible for them to do so.&#10;&#10;If a player cannot follow suit, he has two possibilities:&#10;1. Play trump - play a card of the trump color&#10;2. Throw off - play a card that is neither the trump color nor the color that was lead. You can never win a trick when you throw off.&#10;&#10;If no trump was played, the player who played the highest card of the suit that was lead wins the trick.&#10;If trump was played, the player who played the highest trump card wins the trick.&#10;&#10;If the trump color was lead, it must also be followed. If a player does not have any cards in the trump color, he must throw off a card with another color.&#10;&#10;Scoring&#10;Secret trick indicator cards:&#10;Players whose trick indicator cards were face-down get one point for each trick that they took. Players who took exactly as many tricks as noted on their trick indicator card get a 3 point bonus.&#10;&#10;Openly declared trick indicator cards:&#10;Players whose trick indicator cards were turned face-up only get points get if they take exactly as many tricks as they predicted. If they fulfill this condition, their score is equal to the number of tricks they took multiplied by 2 plus the 3 point bonus.&#10;&#10;Goal of the game&#10;The goal of the game is to have the most points at the end of the game.&#10;&#10;";1988;5.05882;2.0;3;6;30;8;Card Game;material playing card trick indicator card color set value scorepad pen rulebook description main task correctly assess card use trick indicator card declare number trick expect right bonus decide openly announce trick expect secret beware face trick indicator card increase possibility able influence outcome increase risk true alle oder nicht double seven receive st card nd card rd card th card th card th card th card card deal dealer card remain card color card trump color distribute card playing card hand judge trick think select appropriate card trick indicator card place face decision dealer start left ask want openly announce number trick plan trick indicator card wish secret indicate decision dealer ask clockwise order include dealer indicate decision trick indicator card bring high risk potentially follow suit color card lead possible follow suit possibility trump card trump color throw card trump color color lead trick throw trump high card suit lead trick trump high trump card trick trump color lead follow card trump color throw card color secret trick indicator card trick indicator card face trick take take exactly trick note trick indicator card bonus openly declare trick indicator card trick indicator card face exactly trick predict fulfill condition equal number trick take multiply plus bonus end
1391;Aura Poku;"Your people are expelled from the palace of your fathers and you must take your tribe on the difficult journey to a new village. There are three rivers to cross and you must sacrifice gold to the gods unless you go the long way round. It costs more gold to cross at the wide mouth of the river than higher up, so you may join with other players to pay the cost. But remember, it is a race to get the best huts in the new village AND to keep the most gold that wins you the game.&#10;&#10;";1993;4.84225;1.0;3;6;60;8;Adventure, Ancient;people expel palace father tribe difficult journey new village river cross sacrifice gold god long way cost gold cross wide mouth river high join pay cost remember race good hut new village gold
1393;Basta!;"... 38... and five makes 43... and seven makes 50... and that is the Finish, the End, Enough! Nobody may go over 50 points! However many special Action cards give the players the chance to push their luck for as long as possible before exceeding the limit. The one who finally gets caught, however, gets stuck with a penalty chip. The winner is the player with fewest penalty chips at the end of the game.&#10;&#10;";1994;5.61429;1.0;2;6;0;9;Card Game;make seven make finish end special action card chance push luck long possible exceed limit finally get catch get stuck penalty chip winner few penalty chip end
1397;Crash Pilot;"Crash Pilot rewards players who can quickly match shapes and colors. There are six rows of cards representing airplane stunts, and no row may contain two cards of the same color or shape. Each turn a player draws a card from his pile (or on the first turn from a neutral pile), then all players try to find a legal placement for that card; the first player to do so draws a card from his pile to start the next turn. Calling an incorrect row earns that player a crash chip, and three crash chips eliminates him from the game. The first player to run out of cards wins.&#10;&#10;Crash Pilot has also been published with a grocery store theme as Check Out.&#10;&#10;";1999;5.42768;1.125;2;5;20;6;Aviation / Flight, Children's Game, Real-time;crash pilot reward quickly match shape color row card represent airplane stunt row contain card color shape draw card pile neutral pile try find legal card draw card pile start call incorrect row earn crash chip crash chip eliminate run card crash pilot publish grocery store check
1401;Crash!;"Demolition Derby on a small hex grid. Players have six cars each and roll dice to smash vehicles off the board.&#10;&#10;Published in 1992 as Crash! by Franjos and in 2007 as Manoover by Kadon. The published versions do not accommodate 3 players.&#10;&#10;Kadon has, by special order, a 2-sided gameboard that has the 2 player board on one side and the 3 player board on the reverse. (It comes with enough pieces for the three player game, of course.)&#10;&#10;";1992;6.27846;1.4;2;3;15;10;Abstract Strategy;demolition derby small hex grid car dice smash vehicle publish crash franjos manoover kadon publish accommodate kadon special order sided gameboard reverse come piece course
1403;Turn the Tide;"Players are dealt a hand of 12 from a deck of 1-60 (the remainder go back in the box for the whole game), and then lay out marker cards that show the other players the strength of their hand. Another scoring deck of 24 has values of 1-12; two cards from this deck are laid face up.&#10;&#10;Players choose one card from their hand in secret and reveal them simultaneously. The highest value played takes the lowest scoring card, which goes face-up to a pile in front of you. The second highest takes the other card likewise. Remaining cards are discounted. Then look at everyone's face-up deck: the highest scoring player turns one of his or her marker cards over! (The original game had cockatoos becoming cuckoos; this edition is themed on lifesavers). At the end of a round, players score according to their markers cards that they managed to save (cockatoos or life-savers).&#10;&#10;There is a further twist! Players then pick up all their playing hand, and pass it clockwise. So as each round commences, you are using the cards previously used by your neighbor! Are you smarter? Can you make a better fist of the same hand your neighbor had? Play out rounds until all players have had each hand. Top score wins.&#10;&#10;";1997;6.7809;1.5171;3;5;30;10;Card Game;deal hand deck remainder box lay marker card strength hand deck value card deck lay face choose card hand secret reveal simultaneously high value take low card go face pile second high take card likewise remain card discount look face deck high marker card original cockatoo cuckoo lifesaver end accord marker card manage save cockatoo life saver twist pick hand pass clockwise commence card previously neighbor smart well fist hand neighbor hand
1405;Adventurer: A Game of Man to Man Brawling in the Far Future;"Science Fiction version of the Swashbuckler: A Game of Swordplay and Derring-do game from the same publisher. Secretly log the actions that you're planning to take and reveal and execute simultaneously.&#10;&#10;";1980;6.16867;2.1818;2;6;90;12;Science Fiction, Wargame;science fiction swashbuckler swordplay derring publisher secretly log action plan reveal execute simultaneously
1407;Alcatraz;"Players try to escape from the prison island Alcatraz in this quite abstract game. Board resembles a chess board, it's a 9x9 grid where players must move their pieces from one end to the other. Each piece can move horizontally or vertically as many spaces as the player wishes, but there are few complications: the guards. Each row has a guard. Whenever a piece moves to a row, the guard on that row moves as many spaces towards the piece as the piece moved (if you move three rows up, the guard on that row moves three spaces towards you). If the guard catches you, the move is illegal. Of course, it's legal to make the guards catch other players' pieces... The first player to have three of their four pieces escape wins.&#10;&#10;Alcatraz is fun, quick game and a nice brain-teaser, especially with more than two players when the board gets quite crowded.&#10;&#10;";1999;5.50932;1.9091;2;4;30;10;Abstract Strategy;try escape prison island alcatraz abstract resemble chess x grid piece end piece horizontally vertically space wish complication guard row guard piece row guard row space piece piece row guard row space guard catch illegal course legal guard catch piece piece escape alcatraz fun quick nice brain teaser especially get crowded
1409;Spawn: The Game;"While this is essentially a Parchessi variant, the game mechanics were well adapted to the comic book character Spawn, as he was expressed at the time.&#10;&#10;Players play cards from their hands which may affect themselves, affect another player or function as tiles on the board.  In this case, they alter the movement point cost to enter that space.&#10;&#10;Next, players roll dice to build up power (movement) points and move their figure appropriately.&#10;&#10;As in Parcheesi, the first player to complete one trip around the board wins.&#10;&#10;Other items spice up this mix.  Power chips may be spent to add to your roll, but must be spent before you roll.  The Violator pawn sends a Spawn pawn back.  The Overtkill pawn makes it harder to enter its space.&#10;&#10;";1995;4.41241;1.0;2;4;30;8;Comic Book / Strip, Dice, Racing;essentially parchessi adapt comic book character spawn express time card hand affect affect function tile case alter cost enter space dice build power figure appropriately parcheesi complete trip item spice mix power chip spend add spend violator pawn send spawn pawn overtkill pawn make hard enter space
1411;Fugger, Welser, Medici;"&quot;FWM is essentially a medieval trading game, located in central Europe. You have to plan the goods your traders take with them, their pace and timing to make the best out of the known future deals. In the end money has to converted into nobility and your own castle. The game takes a few hours to play, with 2 to 6 players. 4 players probably best. &quot; - from Doris &amp; Frank's description&#10;&#10;";1994;6.45959;3.5714;2;6;360;12;Economic, Medieval, Negotiation, Political;fwm essentially medieval trading locate central europe plan good trader pace timing good know future deal end money convert nobility castle take hour probably good doris amp frank description
1413;Attack Sub;"Attack Sub is a card based wargame similar to Up Front. The topic is modern submarine warfare (Mostly US/Nato vs. Soviet/Warsaw Pact, but there is an occasional Falklands War scenario.)&#10;&#10;Each player has one or more submarines and/or surface ships. Each ship is represented on an individual large card with counters showing current contact status and damage.&#10;&#10;Each player plays cards to increase their &quot;contact level&quot; relative to their opponent. Contact level abstractly represents relative position and sonar readings. It is possible for one ship to have a better contact on his enemy than the enemy has on him. When high enough contact level is reached, torpedoes can be fired.&#10;&#10;";1991;6.65731;2.2424;2;2;30;12;Card Game, Modern Warfare, Nautical, Wargame;attack sub card base wargame similar topic modern submarine warfare nato vs soviet warsaw pact occasional falkland war submarine surface ship ship represent individual large card show current contact status damage card increase contact relative opponent contact abstractly represent relative position sonar reading possible ship well contact enemy enemy high contact reach torpedo fire
1415;Rat Splatter;"Official Blurb:&#10;Squishing rats with anvils is truly a rewarding job, especially when you're getting paid for each rat, and especially when you first take the time to breed them in big nests and squish them all at once.&#10;&#10;It's fast, it's furious, it's about outwitting your opponents and thinking on your feet. But more important than that, it's a game about dropping anvils on rats. What more do you need??&#10;&#10;http://www.savant-garde.com/rats&#10;&#10;";2001;3.79105;1.0;2;7;10;10;Action / Dexterity, Card Game, Party Game, Real-time;official blurb squish rat anvil truly rewarding job especially getting pay rat especially time breed big nest squish fast furious outwit opponent think foot important dropping anvil rat need http www savant garde com rat
1417;Alibi;"The Whodunit Card Game: &quot;Murder in the big city, and you must solve the crime.  Brenda's dead, and foul play is suspected. To win, find out who did it, where, when, how, and why.&quot;&#10;&#10;This is a card game that shares some similarities with Clue, but adds some other questions to the mix, like what time of day did it happen, and what was the killer's motive? To the usual process of elimination and deduction found in most Clue-type games, they've added scoring elements.  You can collect sets of clues and reveal them to score points.  Obviously, though, this aids the other players as well by eliminating some categories.&#10;&#10;You start with a number of cards, each of which contains a specific clue. As play progresses, you can attempt to accumulate all the clues in a category, which will earn you points based on what turn you choose to reveal your set.&#10;&#10;Each turn, you are allowed to direct a question to a specific player.  The question must be answerable with a number.  For example, you may ask &quot;How many Cookie Carpenter cards do you have?&quot;  or  &quot;How many Jealousy cards have you seen?&quot;  Doing this will help you eliminate some of the icons (clues) on your score sheet.&#10;&#10;Your other option during your turn is to make an accusation. You need to be careful though, since this also will end the game! On the other hand, you do get some bonus points for being the First Accuser.&#10;&#10;Cards are passed after each player's turn. For the first round it is only one, but it increases by 1 for every round the game lasts.&#10;&#10;Once someone decides to accuse, all players can make any guesses they want to, filling in the answers they've come up with for each category (Suspect, Place, Weapon, Emotion).  You can also fill in the specific answer within a category for more points. The problem with guessing, though, is that wrong answers result in negative points, and the First Accuser loses double!&#10;&#10;";1993;5.51394;1.7925;3;10;45;10;Card Game, Deduction, Murder / Mystery;whodunit card murder big city solve crime brenda dead foul suspect find card share similarity clue add question mix like time day happen killer motive usual process elimination deduction find clue ve add element collect set clue reveal obviously aid eliminate category start number card contain specific clue progress attempt accumulate clue category earn base choose reveal set allow direct question specific question answerable number example ask cookie carpenter card jealousy card see help eliminate icon clue sheet option accusation need careful end hand bonus accuser card pass increase last decide accuse guess want fill answer ve come category suspect place weapon emotion fill specific answer category problem guess wrong answer result negative accuser double
1419;Pylos;"In Pylos, you want to be one who places the final ball on top of the pyramid. Sounds simple enough, right?&#10;&#10;At the start of the game, each player has fifteen balls, either light or dark, and they take turns placing them on a game board that has sixteen indentations on it in a 4x4 grid. Once four balls have been placed next to one another in a square, a ball can be placed on top of them, forming a second level of play. Players can then place balls on this second level, eventually allowing a ball to be placed on the third level &ndash; and once that level is full, which requires only four balls, a final ball can be placed on the fourth level, with that player winning the game.&#10;&#10;If a player forms a square of his own color &ndash; that is, four balls placed next to one another on the same level &ndash; that player can remove one or two of his balls (that don't support anything) from anywhere on the board and place them in his reserve, thereby giving him more balls to place in the future. Whenever a player forms a square that's not entirely his own color, he can &quot;stack&quot; one of his pieces &ndash; that is, he can take any ball and place it on this square, locking some pieces in place and making a move without having to place a piece from his reserve.&#10;&#10;The rules include a variant for children (that removes the square bonus) and one for experts (that allows a player to return 1-2 balls to his reserve when he creates a line of his color).&#10;&#10;Reimplements&#10;&#10;&#10;    Strat-O-Sphere&#10;&#10;&#10;";1993;6.30798;1.9187;2;2;10;8;Abstract Strategy;pylo want place final ball pyramid sound simple right start ball light dark place sixteen indentation x grid ball place square ball place form second place ball second eventually allow ball place ndash require ball final ball place fourth form square color ndash ball place ndash remove ball don t support place reserve give ball place future form square entirely color piece ndash ball place square lock piece place make have place piece reserve include child remove square bonus expert allow return ball reserve create line color reimplement strat o sphere
1421;Lost Worlds;"&#10;&#10;&#10;    &#10;        GAME SYSTEM&#10;&#10;    &#10;    &#10;         This entry is to allow for discussion/rating of the game system as a whole. It is not for a specific product or release. Versions will appear on the individual item pages.&#10;&#10;    &#10;&#10;&#10;&#10; Lost Worlds is the most popular entry in Alfred Leonardi's line of book games, which also includes Ace of Aces.  Each player has a character card and a booklet (and sometimes special Tactics, Luck, or Spell cards) for one of about fifty (and growing) medieval-fantasy characters.  Characters can range from barbarian warriors to animated skeletons to elven archers to unicorns &mdash; even two different dragons.  Booklets are traded and, as each player selects a move, a reference grid in the books determine the results (wounds, off-balance maneuvers, and so on).  Combat continues until one fighter or the other expires.&#10;&#10;An interesting feature of the Lost Worlds system is that, under some versions of the rules, characters may improve their abilities as they gain experience.  In theory, you are supposed to keep track of your progress with each character, and if one is utterly killed, it will have to start over without its improved skills.&#10;&#10;Part of the Lost Worlds series of books.&#10;&#10;";1983;6.55732;1.6905;2;2;10;10;Book, Fantasy, Fighting, Medieval;entry allow discussion rating specific product release appear individual item page world popular entry alfred leonardi line book include ace ace character card booklet special tactic luck spell card grow medieval fantasy character character range barbarian warrior animate skeleton elven archer unicorns mdash different dragon booklet trade select reference grid book determine result wound balance maneuver combat continue fighter expire interesting world character improve gain experience theory suppose track progress character utterly kill start improve skill world series book
1423;Storm over Arnhem;"This is the first of the Area-Impulse games done by Avalon Hill which later included Thunder at Cassino, Turning Point: Stalingrad and Breakout Normandy. The game simulates the ferocious battle for the Arnhem Bridge on September 18-21, 1944.&#10;&#10;The game begins with the British holding the area around the bridge, surrounded by the Germans. They try to hold out for as long as they can.&#10;&#10;Each full turn covers 8 hours and includes many mini-turns (or impulses). Each impulse, the player can move or fire a small number units. Once moved or fired, the units are &quot;committed&quot; and cannot move or fire again until the next turn.&#10;&#10;Combat is handled by calculating attack and defense values with each side adding the roll of 2 dice. The difference (if the attacker has the higher total) in final point values is the number of casualty points the defender must lose by retreating or destroying units.&#10;&#10;The games is of relatively low complexity for a wargame and rates 3 (out of 10) on AH's difficulty scale.&#10;&#10;";1981;7.19343;2.8992;2;2;300;12;Wargame, World War II;area impulse avalon hill later include thunder cassino turning stalingrad breakout normandy simulate ferocious battle arnhem bridge september begin british hold area bridge surround german try hold long cover hour include mini impulse impulse fire small number unit fire unit commit fire combat handle calculate attack defense value add dice difference attacker high total final value number casualty defender retreat destroy unit relatively low complexity wargame rate ah difficulty scale
1425;Raid on St. Nazaire;"This solitaire wargame simulates the March 28, 1942, British raid on the Nazi-occupied French port of St. Nazaire.&#10;&#10;In the first part of the game, the player moves the British boats and destroyer HMS Campbeltown (camouflaged as a German ship) to their landing areas, while determining the results of the many shots from the harbor defense guns.  Upon landing, the remaining force tries to reach targets  (sub pens, caissons, docked ships, supply tanks, etc.) and destroy them.&#10;&#10;The German guards are handled by the game system and arrive via random draw and placement and move by most direct route to the nearest British commando.  As the game progresses, the German units get tougher and better organized.&#10;&#10;The game ends when either all British units are killed or escape and they score for the targets destroyed.&#10;&#10;";1987;7.25939;3.0198;1;1;180;12;Wargame, World War II;solitaire wargame simulate march british raid nazi occupy french port st nazaire british boat destroyer hms campbeltown camouflage german ship landing area determine result shot harbor defense gun land remain force try reach target sub pen caisson dock ship supply tank etc destroy german guard handle arrive random draw direct route near british commando progress german unit tough well organize end british unit kill escape target destroy
1427;GRO: Battle for the Petri Dish;"Each player controls the growth and expansion of a strain of bacterium within the confines of a petri dish.  The goal is to become the dominant strain.&#10;&#10;Each player starts with a single germ.  Germs may grow and divide to produce more germs, which may grow and divide to produce more germs, etc.  Germs may also move, and they may attempt to surround opposing germs.  When a germ is surrounded, it dies.&#10;&#10;The petri dish contains 4 goal areas.  The first player to gain exclusive control of 3 of the 4 areas, wins.&#10;&#10;The game consists of a board (representing the petri dish), 16 red and 16 blue 7/8&quot; poker chips (the germs), 2 pages of rules, and 2 reference/illustration cards.&#10;&#10;";1999;5.53846;2.0;2;2;90;10;Abstract Strategy;growth strain bacterium confine petri dish dominant strain start single germ germ grow divide produce germ grow divide produce germ etc germ attempt surround oppose germ germ surround die petri dish contain area gain exclusive area consist represent petri dish red blue poker chip germ page reference illustration card
1431;War at Sea (Second Edition);"War at Sea is a simple, strategic wargame covering the Battle of the Atlantic and naval warfare in the Mediterranean in WW2.&#10;&#10;The game divides the contested seas into 6 areas.  Each turn the players move their ships from home ports to one or more of the areas.&#10;&#10;After all ships have been moved a battle occurs.  After a number of rounds, until one side or the other retreats or loses all of his/her ships, the player with ships left takes control of the area and scores a number of &quot;Points of Control (POC)&quot;.  If German U-boats survive anti-submarine combat they may stay in the area, even if the area contains Allied ships, and prevent the Allies from controlling the area and scoring points for it.&#10;&#10;The Allied player has the additional challenge of escorting convoys across the Atlantic. Any that reach England score one POC. If one reaches Russia it scores a BIG three POCs.&#10;&#10;Avalon Hill&#10;&#10;";1976;6.55929;1.9559;2;2;120;12;Nautical, Wargame, World War II;war sea simple strategic wargame cover battle atlantic naval warfare mediterranean ww divide contest sea area ship home port area ship battle occur number retreat ship ship leave take area number poc german u boat survive anti submarine combat stay area area contain allied ship prevent ally area allied additional challenge escort convoy atlantic reach england poc reach russia big poc avalon hill
1433;Der grosse Gallier;"Players place tournament cards face-down and publicly announce the sum of the cards played.  The highest sum wins the tournament but ... players could be bluffing.&#10;&#10;";2001;5.49762;1.6;2;6;60;10;Bluffing, Sports;place tournament card face publicly announce sum card high sum tournament bluff
1435;4000 A.D.;"4000 A.D. is a multi-player, Strategic level, unique board-wargame set two thousand years in the future, when men have spread to the planets of other stars, hundreds of light-years from the Earth. An interstellar conflict between worlds is its subject.  The concept of star travel by hyper-space is the basis of its unique playing character.&#10;&#10;4000 A.D. is pure strategy of movement, with no dice-based, chance elements.  Two to four players may play independently or in alliance with others. Players use fleets of space ships to battle opposing fleets and to claim stars.&#10;&#10;Fleets move using a hidden hyper-space movement system based on the distance between stars. No logging of hidden movement is required; all tracking is done openly which adds an element of guesswork and tension as the question arises as to where opposing fleets in hyperspace are headed.&#10;&#10;Captured stars generate more ships.&#10;&#10;Victory is determined once the last player is eliminated.&#10;&#10;";1972;5.47235;2.1633;2;4;90;10;Science Fiction, Wargame;d multi strategic unique wargame set thousand year future man spread planet star hundred light year earth interstellar conflict world subject concept star travel hyper space basis unique playing character d pure strategy dice base chance element independently alliance use fleet space ship battle oppose fleet claim star fleet hide hyper space base distance star logging hidden require tracking openly add element guesswork tension question arise oppose fleet hyperspace head capture star generate ship determined eliminate
1437;Trust Me;"Trust Me is a property investment game in which your and your opponents try to make money by being good investors. Some of the properties are valuable. Some aren't worth anything at all. It's up to you to learn the value of as many properties as you can &ndash; and then invest wisely.&#10;&#10;";1981;5.03694;1.3846;2;4;45;8;Bluffing, Economic;trust property investment opponent try money good investor property valuable aren t worth learn value property ndash invest wisely
1439;Penguin Pile-Up;"There is much ado in the penguin colony.  The iceberg shakes with all the commotion.  All the penguins want a place on the iceberg, but only those who can keep their balance can avoid the icy water below!&#10;&#10;Steady hand and careful planning are needed to balance all your penguins on the slippery iceberg.  If you succeed before the other players, you win the game!  But if the penguins fall, you must start again with all the penguins that fell joining your colony.&#10;&#10;";1996;5.31459;1.0556;1;6;20;5;Action / Dexterity, Animals, Children's Game, Real-time;ado penguin colony iceberg shake commotion penguin want place iceberg balance avoid icy water steady hand careful planning need balance penguin slippery iceberg succeed penguin fall start penguin fall join colony
1441;Turtles;"Based on the famous Konami arcade game. It's each player's goal to rescue as many cute little turtlettes as possible and bring'em safely back to the home pond. But watch out for the evil beetles 'cause they're out to getcha!&#10;&#10;";1982;2.5;0.0;2;4;30;0;Maze, Video Game Theme;base famous konami arcade rescue cute little turtlette possible bring em safely home pond watch evil beetle cause getcha
