id;name;description;year;rating;complexity
272;Downtown;"Taking a fairly common theme, this game is about building three types of neighborhoods in a developing city.  Each turn one or two blocks will get zoned, based on the players' votes.  Once all four properties in a block have been bought and the block has been zoned, its base score is the number of completed blocks adjoining it.  However, there are serious multipliers (positive and negative) for locating certain types of developments next to each other.&#10;&#10;1st Place 1996 Hippodice Spieleautorenwettbewerb (as Boomtown).&#10;&#10;";1996;6.33014;2.2353
273;Africa 1880;"Africa 1880 -- Relive the Colonial adventure with Africa 1880! Between 1880 and 1914 European nations fiercely raced to gain control of the Dark Continent. Each player represents a nation exploring and colonizing Africa. The success of their adventure, however, has more to do with intrigue in the luxurious parlors of the embassies than hacking away through the jungle. Negotiating alliances and declaring war are what change the face of the world!&rdquo; Contains 22 resin-cast miniatures, 180 die-cut counters, one game board representing Africa, one rule book in English and French, and order sheets&#10;&#10;";1997;5.67098;2.5625
274;Guerilla;"Guerilla is a multi-player simulation card-wargame. Three to six players vie for control of the government as rebels wage a civil war against those in power. As in real guerrilla warfare, the government forces are handicapped by their inability to separate friend from foe. This &quot;fog of war&quot; is accomplished by a clever dichotomy of goals wherein each player simultaneously commands both government and rebel forces. However, each player is secretly backing either the government of rebel cause and is severely penalized if his &quot;side&quot; doesn't win the hand.&#10;&#10;Consequently, players are always torn between scoring for their &quot;side&quot;, or for themselves, or even sacrificing their own resources for the sake of an opponent who appears to be on their side. But is he? Even when you think you've figured out who is who, the Revolution card can appear to change loyalties and totally cloud the issue again.&#10;&#10;Players score by eliminating opposing forces, manipulating the media and world opinion, or controlling various installations such as the Port or Airfield which grant special abilities to those who hold them. Government air power and armor columns struggle against ambushing guerrilla bands which fade back into the jungle without a trace. If atrocities are committed, the U.N. may intervene and attempt to stop the open warfare. Then the battle is fought by secret police who ferret out traitors while propaganda battles are waged for the hearts and minds of the populace. Assassins abound as influential leaders are targeted in an attempt to paralyze opposing troops in preparation for the day when the U.N. withdraws.&#10;&#10;Game length is variable and selected at outset. A game can comprise a single hand or be combined into three or more - resulting in a game from one to four hours in duration.&#10;&#10;";1994;6.26961;2.641
275;Extinction;"&quot;The Last Game They Ever Played&quot;&#10;&#10;Extinction is a card game for 2-6 players, Ages 12 and up. The object of the game is to create large herds of dinosaurs while making your opponent's dino herds extinct.&#10;&#10;The game is played over 3 rounds, representing the Triassic, Jurassic, and Cretaceous periods. During each round, players can meld herds of herbivorous dinos to earn points at the end of the round, play egg cards in hopes of adding to an established herd later in the game. There are several calamity cards that can be drawn, or played by another player, to throw a wrench into a player's plans. Some of these include meat-eating dinosaurs, egg-eating cards and gene pool disasters.&#10;&#10;The larger your herds, and the more herds featuring different types of dinos, the more points you can earn at the end of each period. The player with the most points after the Cretaceous period is the winner!&#10;&#10;";1993;4.96889;1.4
276;La Guerre de l'Empereur: The Emperor's War, 1805-1815;"La Guerre de l'Empereur: The Emperor's War, 1805-1815 is a game of maneuver and battle between the forces under Napoleon Bonaparte and six other nations that both opposed and supported him at various times in the years between 1805 and 1815. Players vie for dominance of early 19th Century Europe. As the French player, you'll set Napoleon and his armies upon a continent whose differing political statures plays right into your hands. The greatest army in Europe is at your hands...&#10;&#10;Divide and conquer! As the British player, you'll utilize diplomacy, clever event play, a powerhouse economy and the greatest navy in the world to become the dominant nation. As Russia, Austria, Prussia, Spain or the Ottoman Empire, you must strike a balance between expansionist aggression and diplomatic harmony among your neighbors. Indeed, a nation must expand to triumph. However the means chosen to that end will largely decide the level of success. Play  the part of being everyone's friend and your nation will likely live in relative safety...and lose the game miserably. Play the part of the blind aggressor and you'll likely go down faster than the peace broker. Striking a balance is critical.&#10;&#10;The game map covers the territories from Scandinavia in the north to the Mediterranean and North Africa in the south, and from deep Russia in the east to Portugal and the Atlantic in the west. Movement is by areas (provinces) on land, and sea zones at sea. On land, the units of maneuver are (roughly) corps, while at sea each unit represents a naval squadron. When opposing land armies meet for battle, corps are broken down into divisions (loosely) and deployed on a eight zone battle map for combat resolution. The dice-less combat engine uses a system of battle options which are played and cross-referenced for resolution of actual casualties and morale loss. The number of battle options distributed, along with the initial army morale of the opposing sides, is determined by army size, nationality and leaders present. The battle options are of offensive and defensive nature. The offensive options cover standard maneuvers such as &quot;Flank Attack&quot;, &quot;Cavalry Charge&quot; and &quot;Assault&quot;, while the defensive options are things such as &quot;Refuse Flanks&quot;, &quot;Squares Formed&quot; and &quot;Reverse Slopes&quot;.&#10;&#10;The rules are relatively simple and fast moving, even though a host of subtleties and complexities of the Napoleonic period are represented within the game system. The means by which this relative simplicity was achieved was (largely) through the use of self-explanatory strategic event charts. Be warned: This game is easy to understand and play, but very difficult to master.&#10;&#10;The game system works the same whether you're playing with two players or seven. With multiple players, you'll need all of your diplomacy skills to enlist aid in achieving your goals. With fewer players, the event charts will handle the bulk of the diplomatic duties. Regardless of how many players you have, all seven major powers will actively participate to a greater or lesser degree.&#10;&#10;";1997;6.4589;3.3846
277;Res Publica;"In Res Publica you are the will of the people, guiding five ancient civilizations to greater heights of power and technology.&#10;&#10;Each turn, the active player makes a trade offer... and each player in turn responds in kind. Using the cards and the information gained through the trading process, players work to acquire five identical people cards in order to build a city (which increases the number of cards you can draw each turn) or five identical technology cards in order to build a monument (which garners end game victory points).&#10;&#10;At the end of the game, players total the points achieved via cities and monuments and the one who has the most wins.&#10;&#10;";1991;5.90777;1.7093
278;Catan Card Game;"Catan Card Game bears only a slight resemblance to The Settlers of Catan, the original game in the Catan series.  There are six resources: wool, wood, bricks, grain, ore, and gold. Before beginning the game, the players receive six square cards showing the resources, with a different die number on each card. In addition, the players start the game with two village cards and a road card connecting them. There are card stacks of more roads and villages, as well as cities, to be purchased during the game. With each new village or city comes two new resource cards. Villages and cities give victory points.&#10;&#10;When the number die is rolled, instead of collecting more cards, the players rotate the corresponding card 90 degrees to indicate a gain of one more of that resource; i.e., the brick card shows a picture of one brick on one edge of the card, two bricks on the next clockwise edge, three bricks along the third edge, and zero bricks on the fourth edge. There is also an event die, with five possible outcomes:&#10;&#10;&#10;     a reward for the player with more knight points or more 'windmill' points (a picture of a windmill on some cards),&#10;     a bonus resource,&#10;     an attack if a player has too many resources, and&#10;     one of six special events - civil war, conflict, master builder, plague, productive year, or progress.     &#10;&#10;&#10;There are 62 expansion cards in six stacks in the center of the table. Before beginning the game, players choose one stack, go through it, and choose three cards to hold in their hands. Forty-two of the expansion cards require spending resources to be put into play, gaining civic improvements or knights. Every civic improvement serves some useful function or adds victory points or both. Twenty of the cards are actions benefiting one of the players or harming the other. After a player pays to put a card down or uses an action card, he blindly draws a replacement. Unwanted or unusable cards can be traded in future turns. Some of the cards have flags on them, indicating victory points.&#10;&#10;Whoever first has twelve victory points wins the game!&#10;&#10;The Anniversary edition of this game (Jubil&auml;umsausgabe, tin box edition) can be found under a separate game entry due to some differences in content: Die Siedler von Catan: Das Kartenspiel &#226;&#128;&#147; 10th Anniversary Special Edition Tin Box.&#10;&#10;Belongs to the Catan Series.&#10;&#10;";1996;6.70148;2.4386
279;The Very Clever Pipe Game;"The game consists of a set of cards. The cards have white and black pipes in various six-outlet configurations, and players take turns placing them onto the table.  When a player constructs a completely closed-off section of pipe in their color, he takes all the cards from that section.  After all cards have been played, the player with the most scored cards wins.  Additionally, the cards also have two different floors (which appear underneath the pipes) that can be used to expand the game to a four-player affair.&#10;&#10;The game was re-released in 2002 with a reduced deck (48 cards instead of 120) as part of the Hip Pocket Games series.&#10;&#10;";1996;6.21525;1.5926
280;Neue Spiele im alten Rom;"Neue Spiele im Alten Rom (or New Games in Old Rome (NGIOR)) is a compendium of games from Reiner Knizia. In the box are fourteen games themed on ancient Rome. The games are themed to cover, albeit in a highly abstract fashion, the rise of Rome, the Roman Republic and finally, the Empire.&#10;&#10;(7 of the games are described below)&#10;&#10;The Wheel of History : 2-5 players&#10;&#10;This is an early version of what was to become Bunte Runde. 25 cards are laid out in a large circle, representing the tribes to be united under early Rome. Players may advance a pawn one, two or three spaces forwards and collect a card. Cards are scored on face value, but there are some quirks that vary this.&#10;&#10;The Seven Hills of Rome : 2 players&#10;&#10;This is one of the easier games in the compendium. The theme here is you are battling your opponent for control of the seven hills of Rome. The hills are represented by seven cards, numbered 1 to 7, laid out between the players. Cards are played from a hand against the 'hills' in an attempt to influence them to your side. You sum the hills you control at the end of the game, and the highest total wins.&#10;&#10;Mercator : 3-7 players&#10;&#10;This game is Medici&#039;s ancestor. It is a simplified version of Medici, with the chief differences being you can hold six cards on your ship, and you are competing for highest value totals only. The number of each suit taken is meaningless, except in a variant where you get paid a bonus if you get one of each. The game lasts only one round. Medici is worth purchasing on its own, but this is still worth a look.&#10;&#10;Imperium : 3-5 players&#10;&#10;The aim is to earn points for control of each of the 9 areas on the board. The game lasts 9 turns, and at the end of each turn, the area matching the turn number is evaluated for control and points are awarded. On your turn, 3 cards are revealed simultaneously. These cards are numbered 1 to 9, with 2 additional banner cards. The numbers correspond to the areas you want to place control markers into. The banner cards indicate you want one or two extra chips placed in the indicated area. After control markers are placed, the current turn's area is evaluated - points being awarded to the winner and perhaps the second and third places as well. After 9 turns, the player with the most points wins. As you progress, the points awarded for each area increases, giving a nice feeling of acceleration.&#10;&#10;Senator : 2-3 players&#10;&#10;You play a Roman faction trying to position your people (a hand of cards) into the senate. They can only get their via the senate steps. The board is a grid of 5x5 spaces, The 9 spaces in the center are the senate, while 12 of the remaining 16 are the steps spaces that run around the perimeter of the senate. Cards are placed initially on the steps, and then pushed into the senate by placing more cards on the steps.&#10;&#10;Circus Maximus : 3-5 players&#10;&#10;A simple chariot racing game where players are competing to be the first to get their team of three chariots around the hex map circuit and onto the podium. Each player has a set of cards face up in front of them, numbered 1 to 5. To move a chariot they select up to three cards per chariot which that is the movement allowance for that piece. The movement off each card must be in a straight line, so some rather clumsy cornering ability is built into the game. Cards used by a chariot are turned face down, becoming unavailable for the other chariots still to move. Each chariot must be moved at least once per turn, if possible. Therefore, the trick is to maximize your movement with your 15 points each turn.&#10;&#10;Consul : 2-4 players&#10;&#10;This is an intriguing memory game, that, like most of the games in this compendium, have a hard time being fitted into a theme! Twenty-five cards are turned face down in a grid. Players start the game each holding three cards in their hand. On their turn, players make a bid to take a turn. The highest bid gets to turn up cards until they choose to finish, or make a mistake. Cards in a set can be of the same value, or same color, or both. The value of the set must equal of exceed the bid made, simply by summing the face values of the cards. If a mistake is made, the cards are turned face down, and the player must discard a card from their hand into the grid. If the bid is made, the cards are taken into the players hand. At the end of the game, the highest total held wins.&#10;&#10;--&#10;&#10;Translated rulebook to the contrary, this game has never been published by an English publisher.&#10;&#10;Note: 3 of these have been printed/repackaged in English by GMT in Rome: Imperium, Circus Maximus, Hannibal vs Rome.&#10;&#10;";1994;6.83873;2.3333
281;Ostindiska kompaniet;"from the translation:&#10;The Swedish East India Company loaded their ships in G&ouml;teborg with Swedish export goods.  These were carried to Cadiz in Spain and there sold in exchange for Spanish silver piastres, the only currency acceptable to the Chinese and South Indian merchants.  From Cadiz the ships sailed east to ports in India and China (invariably Canton in the latter), where they sought to purchase the most profitable goods.  These were carried back to G&ouml;teborg and sold at a healthy profit.  (The Company actually supplied most of the Swedish GNP in those days!)  You will reinvest your profits in new cargo to start the Cadiz/Far East cycle again, but you must also buy shares in the Company.&#10;&#10;";1991;4.68571;2.5
282;Vikingatid;"Viking era is a game for two to six players. The game describes the Viking era in, for common family games, untypical detail. The players play Danish, Norwegian or Swedish Vikings. They move their fleets around the known world to trade, plunder and conquer. Furthermore, it is possible to discover hitherto unknown land areas. The game is over when all players are Christianized. The player with the most points wins the game.&#10;&#10;";1997;5.95268;3.3
283;Advanced Third Reich;"Advanced Third Reich is a board wargame published originally by The Avalon Hill Game Co. The game is a rewrite of Third Reich,  and is a simulation of the European and African theaters of World War II. In 2003 GMT Games published A World at War, a substantially revamped and streamlined version of Advanced Third Reich, designed by Bruce Harper.  Designed to reflect the corps scale, a turn represents three months of movement and fighting.&#10;&#10;";1992;6.90633;4.5397
284;Lords of the Sierra Madre (Second Edition);"The setting is northern Mexico starting in 1898 where an economic boom, a dictator who welcomes foreign investment and wide-open land set the stage for one of the greatest capitalist free-for-alls in history. Each player is an hacendado. These entrepreneurs vie to build the largest empire of railroads, mines, ranches and other businesses. They may employ banditos, strikers and other sneaky maneuvers to tax, bribe, raid and destroy their opponents, often employing police, federal troops, even the US Army. They may even get themselves elected to the governor's office or the presidency itself (a crime in Mexico).&#10;&#10;";1995;6.36781;3.6
285;Monsters Ravage America;"Each player is one of six Giant Monsters, stomping across a map of the USA in search of cities to destroy. The monsters run the gamut from the classic (enormous lizards and gargantuan apes) to the slightly more unconventional (50-foot glow worms, anyone?), and each has its own set of attributes and powers.&#10;&#10;Ingeniously, everyone also controls an arm of the military, which can be used to attack and weaken the other monsters on the board. It's a losing battle for the militia -- monsters can wipe out military bases and reduce the total number of forces available to each player -- but you can get a few good licks in early in the game.&#10;&#10;The battle escalates until the 20th city is reduced to rubble. At that time, all the monsters duke it out in a free-for-all, mano-a-clawo Monster Challenge; and when the dust settles, the last monster standing is declared the winner.&#10;&#10;This game was remade into Monsters Menace America.&#10;&#10;";1998;5.87723;2.1905
286;Machiavelli;"Machiavelli recreates the historical situation of the fast developing and ever shifting balance of power struggle in Renaissance Italy. There are five major powers: The Republics of Florence and Venice, the Duchy of Milan, the Kingdom of Naples and the Papacy (which was a secular power in this era) along with 3 major foreign powers: Valois France, Hapsburg Austria and the Ottoman Turks. All of these states singly or in combination compete for control of the peninsula.&#10;&#10;Expanded by:&#10;Alea Magazine n&#194;&#186;22 contained seven new scenarios for Machiavelli.&#10;&#10;";1977;7.0967;3.1963
287;Bazaar;"The components of Bazaar include a whole bunch of little chips, in five colors. At the start of the game, two equation cards are randomly chosen. Each equation card has five equations on it, for a total of ten equations that will be in effect for the duration of the game. The equations state equivalences between certain combinations of colors, for example:&#10;&#10;&#10;    Red = Green Green&#10;    Green Yellow = Blue Blue Red&#10;&#10;&#10;Four target cards are turned up, each with some combination of five chips represented on the target card (so a typical target card might be Green Green Blue Blue Blue).&#10;&#10;On your turn, you roll a colored die to randomly pick a colored chip for yourself, or you can make one exchange of your colored chips based on the equations. The goal is to end up with the right combination of chips to get one of the target cards. You want to do this quickly &ndash; and even more importantly, with as few chips left over as possible after you've purchased the target card &ndash; because this is how you score points.&#10;&#10;The original version is part of the 3M Bookshelf Series.&#10;&#10;";1967;6.52311;2.0278
288;Rossyïa 1917;"&quot;Rossy&iuml;a 1917&quot; is a Strategic level mid-high complexity board-wargame of the Russian Civil War 1917-1922. It covers the military aspect of the civil war at an operational level. Units are brigades and divisions, rated for steps, combat, movement and shock (quality) value. The full-color map covers Russia from the Polish border to the Siberian plains, superimposed with a hexagonal grid, each hexagon representing 25 miles.&#10;&#10;The game is played by players alternating HQ units and using them to perform various actions, including moving military units and initiating combat. Rules cover shock combat, political events, rail movement, naval movement, air power, tanks, armored trains, reserves and more.&#10;&#10;Game consists of 37 pages of rules, 2 maps measuring 80cm by 60 cm, over 1000 counters and numerous charts.&#10;&#10;";1995;7.25068;3.9167
289;Chariot Lords;"Between 1500 and 600 BC, Asia Minor and the Mediterranean witnessed the rise and fall of several mighty empires. Often the birth of one empire precipitated the death of another. How could a small people like the Judeans establish an empire when located between such giants as Egypt and Assyria? Why did some Empires endure for centuries while others lasted only a few generations? Chariot Lords shows you the how and why.&#10;&#10;Each Lord controls between 5 and 6 nations, some strong, others weak, each with varying goals and objectives - indeed some of these countries may not even exist at the same time. Players compete against one another to achieve the victory criteria for their empires. Nations quickly become rivals, involving them in death struggles over expansion. Each turn (90 years) will see new countries come to the fore, while established empires struggle to levy reinforcements and arrange alliances. A fine line must be walked between conserving one's forces and expanding one's empire. Too much expansion will see your resources spread thin and possibly swept away by a new emerging empire, but not enough aggression will see your empire fail to garner sufficient victory points to win.&#10;&#10;Armies are of a mix of foot and mounted units, along with the occasional leader of note. It is not enough to conquer -- you must be able to keep what you have taken. The winner will be the one who has the most victory points after all the armies have had their moment on the stage. It is up to you to determine whether your empire will be relegated to the dustbin of history, or whether others will hail you as...The Chariot Lord.&#10;&#10;Contents: &#10;&#10;    8 pages of Rules, 4 of notes and commentary &#10;    1 hard-backed map &#10;    140 3/4 inch square counters/markers &#10;    170 5/8 inch square counters &#10;    4 victory point charts with combat charts on reverse &#10;    4 nation force arrival charts &#10;    1 master nation force arrival chart&#10;&#10;&#10;";1999;6.69094;2.75
290;Gold Digger;"Gold Digger sets anxious prospectors on a quest to find their fortunes in gold. Picking the claims that will yield a cornucopia of riches ... but beware of fool's gold! The player that outwits all of the others, wins!&#10;&#10;Originally published as Goldrausch, it was republished in 2002 as Gold Digger by Out of the Box Publishing, with a revised 2nd edition published in 2006.&#10;&#10;Reimplemented By:&#10;&#10;    Wapi&#10;&#10;&#10;";1990;5.74146;1.186
291;Courtisans of Versailles;"Amid the lavish splendor of the palace of Versailles, players strive to improve their standing among their fellow courtiers. Their mark, with either the Queen or Louis XIV himself, depends on how they manipulate elevated forms of etiquette, repartie, and the true passion of the court...The high art of ridicule. Circumstances change as the court moves from the palace to the hunt, and possibly to the front if war breaks out. Titles, awards, vast fortunes can be amassed through whim and wit, but be aware that a devastating faux pas could find you banished to the colonies, or worse yet, land you in the notorious dungeons of la Bastille.&#10;&#10;The original version, Aristo, published by Dragon Radieux, accommodated up to 8 players. The later version only allows for 6.&#10;&#10;A winner of the 1988 Concours International de Cr&#195;&#169;ateurs de Jeux de Soci&#195;&#169;t&#195;&#169;.&#10;&#10;";1988;5.78056;1.8182
292;Attacke;"Themed as a joust of knights, Attacke is a simple card laying contest. The cards are in 5 colors and are numbered 2,3,4,5, &amp; 7. From a hand of five, a player lays one or more cards of one color, declares the total value, and draws one card. Following players must lay cards to beat that total in that color to stay in the round. If you can't or choose not to play, you're out and draw a final card. The round continues with players adding more cards to their total or dropping out until one player remains and that player takes a token in that color. There are joker cards (shields) of 7 or 10. First to win 4 out of the 5 colored tokens, wins the game.&#10;&#10;Ridiculously simple and really great fun. Do you contest this color seriously, or throw some cards down just to draw a color you need?&#10;&#10;Re-implemented by:&#10;&#10;    Ivanhoe&#10;    Gem Dealer&#10;&#10;&#10;";1993;5.71386;1.5
293;Bamboleo;"This is definitely one of the more unusual offerings from our German friends. An assortment of oddly shaped wooden blocks are placed onto a round, wooden 'platter.' The platter has a cork ball on its underside, which is then placed on top of a conical stand. The trick is that the oddly shaped pieces are to be removed one-by-one, which has a high probability of upsetting the whole contraption's delicate balance. The bigger the piece that you remove when it's your turn, the more points you'll score, but you have a higher likelihood of spilling everything, which scores you negative points.&#10;&#10;";1996;6.31097;1.2371
294;Keydom;"Independently produced by British game designer Richard Breese, the three hundred copies of this game sold within hours of its initial offering at Essen 1998.  Players represent a family of medieval professionals, such as Stonemasons or Fishermen.  Using a set of numbered tokens and some misdirection, players try to achieve control in several areas of the board.  Perhaps they are seeking resources.  Or perhaps they will use their hard-fought resources to purchase special actions, magical spells, or a piece of the royal Keylore.  The first player to acquire all three pieces of regalia and take them to the throne room is crowned King and is the winner.  Re-tooled, this game was re-released as Aladdin's Dragons in 2000.&#10;&#10;Keydom is Richard Breese's second game in the key series.&#10;&#10;Re-implemented by:&#10;&#10;    Aladdin's Dragons&#10;&#10;&#10;";1998;6.8075;2.7143
295;Europa 1945-2030;"This game details the creation and expansion of the European Union in the years following World War II.  Players are represented by a group of EU delegates that travels across the many different countries of Europe.  When a country's threshold of resistance is equalled by the number of delegates, the country is eligible to enter the Union, assuming the players can come to an agreement.  Additionally as the game progresses, various countries have an increasing potential to fall into armed conflict, which the players must avert should they wish to retain their good standing.&#10;&#10;";1998;5.98079;2.6279
296;Medieval Merchant;"Players secure valued markets via affordable trade routes between medieval cities while simultaneously forcing opponents into less affordable and less valued markets.  The cities themselves have a variable number of spaces for players to develop business branches within, or alternatively establish new trade routes into wider reaching cities and towns.  Players may generate income and risk losing dominance over a city, or add branches within a city that lower the value of your product but can award you with a stronger market influence.  At the end of the game, the player with the most influence wins.&#10;&#10;";1998;6.70452;3.0916
297;Stadens nyckel;"In this fun but luck-intensive game, players represent noble families trying to build up their neighborhoods and have their family members in high offices at the right times.  These goals are aided by cards, which either aid families competing for high office or show buildings that can be placed in the neighborhoods.  At the end of each turn an event card takes effect, giving points to officeholders, allowing free building, or causing some other occurrence.  Layed out around the board during game setup, these event cards are revealed to allow players to see the upcoming three events.  When all the event cards have taken effect, players score points for their neighborhoods and for occupying high offices.   The player with the most points takes the day.&#10;&#10;";1998;5.27677;2.3
298;Lang lebe der König!;"The theme is the struggle for kingship in England. Players struggle to control the territories in England, each worth a number of votes (from 2 - 4) during the election phases. With 4 players, 20 votes are necessary to be elected king.&#10;&#10;";1997;5.2095;2.0
299;De Bellis Antiquitatis: Quick Play Wargame Rules with Army Lists for Ancient and Medieval Battles;"A flexible, fast-playing set of miniatures rules. An army consists of 12 units (called &quot;elements&quot;), classified as Blades, Warband, Knights and so forth. The rules are very simple (and can actually fit on one sheet of paper) but nevertheless pretty effective.&#10;&#10;The Fantasy version is Hordes of the Things, and the De Bellis Multitudinis: Wargames Rules for Ancient and Medieval Battles &#226;&#128;&#147; 3000 BC to 1500 AD rules add more detail and significantly increase army size.&#10;&#10;De Bellis Renationis extends the time period through the end of the Renaissance (1700 AD) and Horse, Foot and Guns covers the period from 1701 to 1915.&#10;&#10;";1990;7.30947;2.802
300;Tutankhamen;"There are 69 artifact tiles in the game of Tutanchamun. These are shuffled and then laid out randomly in a long, serpentine trail. Players take turns choosing any tile from the trail, but can never turn back to choose a tile they have already passed. There are 15 different sets of tiles (three sets each of 8, 6, 4, 2, and 1), and when the last tile of any set has been claimed, the player holding the most in that set scores that number of points, while the player holding second most scores half that number. Complicating matters, there are also three tie-breaker tiles and three tiles that let you &quot;buy&quot; a tile from another player. It's an exercise in numbers that plays quickly, probably 30 minutes tops, and is suitable for youngsters yet susceptible to analysis. The game has a unique layout and a brightly-colored Egyptian pharaoh look. The new edition by Out of the Box Publishing games has different graphics, but is otherwise substantially similar to the original.&#10;&#10;";1993;6.10848;1.5926
301;Campanile;"Very nice combination of tile placement and betting. Players lay long tiles to build 5 towers taller and taller, whilst betting on which will be the tallest to shortest. The trick is that when you lay a tile to raise a tower one, two or three stories tall, this controls how much you can bet (1,2 or 3 tokens) and crucially, which draw pile you take from (pile 1, 2 or 3). Since the draw piles are face-up, I might want to draw from pile 3 to get a tile which will boost a tower I've bet on, but that means I have to lay a card three stories, and so I might have to play a tile from my hand that helps the other players! A very nice mechanism which gives those simple, frustrating choices we all enjoy. The scoring gives points to the first and second majority backers on each tower.&#10;&#10;";1996;6.15159;1.6765
302;Forum Romanum;"Long out of print, this is a popular placement game by Wolfgang Kramer, published in the Franckh Kosmos long box series. Actually very simple, players take turns to put their colored pieces in different rooms. Whenever a row, column, diagonal or room is full, it is scored, with the majority holder getting the value of the length, and any minority holders losing points. All lines or rooms are marked off when scored and when you run out of pieces to place, you must move a piece, which means you can suddenly lose a potential score you were building.&#10;&#10;";1988;6.74829;2.3514
303;Koalition;"60 politicians of all colors stand for election in the 15 countries of the European Union: unimaginable benefits and positions of influence await their power brokers, for it is these Machiavellian lobbyists and self-appointed &ldquo;leaders&ldquo; who hold the real power in the palms of their hands.&#10;&#10;With no thought for party loyalties or manifestos they pull the strings of their politician puppets, paying only enough lip-service to the conventional rules of politics to keep the voters quiet.&#10;&#10;Party scandals shamelessly arranged, press campaigns against innocent politicians, filthy intrigues to bring about the fall of opponents, the sudden favoring of surprise candidates better suited to government or to profitable leadership: these unscrupulous power brokers stop at nothing to form tactical coalitions. Cloaked in phony democracy, it all serves to gain total power over Europe.&#10;&#10;";1992;6.4597;2.2941
304;Evergreen;"Combination of card play and timing from Wolfgang Kramer &amp; Michael Kiesling. There are some recording artists who are famous for singing certain standards. Players are putting on concerts and use numbered cards for each performer to take control of that singer. The singers are represented by old fashioned 45s, with a disc in the center showing values from 5 to 12. Each time a singer is transferred from control of one player to another, the disc is rotated, so the value can rise to 12, but next move, it drops to 5 again. You try to gain control of an artist at high value, or pass artists from one player to another to make them devalue. Scoring occurs when players choose to put on concerts at the end of their turn, including a gala show which doubles the value. The game rules state that the designers produced this game by phone and fax, without ever meeting. Perhaps that shows, as it has interest, but the game uses a sand-timer to apply pressure to your decisions.&#10;&#10;";1999;5.54669;1.8571
305;Der Fliegende Holländer;"Early Klaus Teuber game with a well deserved reputation, from a publisher better known for electronic games! The odd combination of mechanisms is a bit tricky to grasp at first, but soon reveals a nice contest. There are various ships in different colors marked on the board and players are dealt 3 random cards to show a share in three of the ships. Also on the board are treasure chests with rising values, and colored markers for each ship move from chest to chest, showing the worth of that vessel. Players begin with cash, 3 Smithy &amp; 3 Trade card, and some lucky horseshoes that they keep on a rack hidden from the other players. These are variously numbered and two dice are rolled at each turn to provide the lucky number.&#10;&#10;As the Flying Dutchman sails the seven seas, it can either move onto islands or the ships. If it is moved onto a ship, players reveal if they are share holders and pay the current value back to the bank as its marker is moved down to zero. On your turn, you can opt to use your Trade card to exchange 2 of your share cards, effectively dodging the Dutchman's threat. Or you can play a Smithy card, to allow you to take horseshoes at the end of the turn. But mainly you can attempt to control the Dutchman's move, by secretly laying down horseshoes to match the lucky number, the closest winning control. A nice rule, if there's a tie, the players are meant to try to agree, then barter, and finally compete with more horseshoes (all to the benefit of the Smithy card players!). Played horseshoes are pooled until Smithies divy them up.&#10;&#10;If the Dutchman is moved to an island, the controlling players reveal a share card and take the value of that ship from the bank. The round ends with all the chest markers moving up once, including a black marker, which ends the game when it reaches the highest chest. Players reveal their share cards and take the final value on the chests, most money wins.&#10;&#10;Puzzling to begin with, but you quickly realize whether your shares are under threat from a Dutchman's move, so you either trade out or try to gain control. If you're not under threat, it may be worth use your Smithy to grab the pool of horseshoes. Get your timing right and the whole thing becomes very rewarding. Simple choices, not perfectly balanced, but the players at times co-operate or struggle, making for an entertaining voyage.&#10;&#10;Winner of the 1992 Deutscher Spiele Preis.&#10;&#10;";1992;6.07563;2.4762
306;Die Siedler von Catan: Historische Szenarien;"This is an expansion for Die Siedler von Catan (The Settlers of Catan).  There are two scenarios that are included, Cheops and Alexander the Great.  The first recreates the building of the pyramids ala Settlers, and the second follows the imperial expansion of Alexander the Great.&#10;&#10;Mayfair Games imported the German version in limited numbers, adding a version of the rules translated into English.  The imported first edition is Mayfair SKU #587.&#10;&#10;Belongs to the Catan Series.&#10;&#10;";1998;6.51259;2.5155
307;Candidate;"The object of this game is to visit various states in the union and win as many primaries as it takes to get nominated. During a 23 week period primaries will be held in the 50 states. Each player wages his campaign through careful management of ever changing resources, bluffs, and current events on a state-by-state basis to the climactic final days of the conventions and his or her party's nomination. The first player with a majority (270) of the 538 electoral votes wins.&#10;&#10;";1991;5.59431;1.9444
