id;name;description;year;rating;complexity;minplayers;maxplayers;playingtime;minage;categories
1137;Die Siedler von Catan: Das Buch zum Spielen;"Expansion kit for Die Siedler von Catan (The Settlers of Catan). Includes fifteen expansion scenarios and many variants along with pieces. However, written only in German. Some editions in the U.S. are available with a set of English translations for the scenarios and variants part of the book enclosed.&#10;&#10;Belongs to the Catan Series.&#10;&#10;Expands:&#10;&#10;    CATAN&#10;&#10;&#10;";2000;7.2777;2.9231;2;6;60;12;Book, Civilization, Expansion for Base-game, Nautical, Negotiation, Racing, Trains, Transportation
1139;Fantastische Ballonreise;"Fantastische Ballonreise [Fantastic Balloon Voyage] is a dice game for 2-5 players. The idea is to fly as quickly as possible. Whoever can land at his destination first wins. Fantastische Ballonreise will take you flying all over Germany and its neighbors following a &quot;must visit&quot; list set at the start of the game. At the various stops you will read a card which is descriptive of the folklore of the location and has a special effect on play, including trivia contests, drawing pictures or singing songs. This game was developed as a promotional item for the soft drink manufacturer Fanta. Includes five miniature plastic balloons which go up and down on stands to show their current altitude. Players race their balloons, and special dice are used to determine the change of orientation of a large wind rose, which indicates the amount of movement permitted in each direction, but lines on the board indicate which directions can be travelled in from each space. Cards are dealt out to indicate start position, end position and four intermediate points in each player's route. Very nice item.&#10;&#10;";1977;3.5;0.0;2;5;45;7;Adventure, Aviation / Flight, Children's Game, Dice
1141;Pass the Gas;"Players toss out ballast cards of varying weights and rise&#10;by corresponding amounts, racing to be the first to reach the altitude goal. But a throw is also a &quot;to-hit&quot; roll which may go into another's balloon and force it downwards. In addition, it may hit a crewmember, knocking them out yet causing the target balloon to once again rise.&#10;&#10;";1999;6.1;0.0;2;6;45;8;Aviation / Flight, Dice, Racing
1143;Warrior Knights;"Players vie against each other to take over as many cities on the map as they can.  The player who controls more than half of the un-razed cities of the kingdom wins.  Warrior Knights is a game where players use armies to conquer cities and rout opposing forces.  Cities provide income which pays for armies and city improvements.  The interesting aspect of the game, though, is the Assembly where players vote on various motions drawn from the deck of Assembly cards.  These motions are mainly for titles and appointments such as governors, ambassadors and other offices which give the holder additional troops, or for concessions which create additional income for the holder.  As in any game of this nature, alliances are forged and broken between players in order to further goals until one player emerges victorious.&#10;&#10;Re-implemented by:&#10;&#10;    Warrior Knights&#10;&#10;&#10;";1985;6.62575;3.2203;2;6;180;10;Fantasy, Fighting, Medieval, Negotiation, Political, Territory Building
1145;City of Chaos;"From box back&#10;&#10;&quot;City of Chaos - The Fantasy Board Game&#10;&#10;Travel the twisting, smog-filled streets of Byronitar, &quot;City of Chaos&quot;.  The City and its inhabitants are in the grip of a strange, entropic forces which threaten to rip the city apart. You must uncover the clues which will lead you to the sources of Chaos, then you must restore Order to the City. In the City anarchy rules, all is in flux, strange beasts and spirits have descended onto the streets, all normality has disappeared. You must learn the ways of the City, train to develop exotic powers, talk, trade and fight your way through the bizarre encounters to free the City. Chaos is unleashed, be prepared!&#10;&#10;Worlds Apart&#10;City of Chaos is a break through in board game design.  The easy to play rules assue thatwithin minutes you can be exploring Byronitar, &quot;City of Chaos&quot;, a richly detailed world in which you will become immersed. City of Chaos uses a random plot and world generator which ensures that no two games are ever alike. You must make the decisions, fight the battles and unravel the dark secrets of this City of Chaos!&quot;&#10;&#10;Players explore a randomly generated city seeking clues to uncover a source of the chaos that is afflicting the city and defeat it.  Combines many different features:&#10;- Tile Laying: players create the game board by placing tiles&#10;- Random Events: players draw an event card each time they enter a new tile&#10;- Combat: many events result in opponents to fight&#10;- Role Playing: players can improve their characters skills and gain weapons / items to help them&#10;- Paragraph Reading: the plot is uncovered by reading paragraphs out of a book&#10;- Mystery Solving: players must use the clues they read in the paragraphs to determine how to win&#10;&#10;";1996;6.90652;2.7917;1;6;300;12;City Building, Deduction, Exploration, Fantasy, Fighting, Murder / Mystery
1147;Outrage! Steal the Crown Jewels;"The Official Tower of London Board Game&#10;The Challenge. You have been challenged to enter the Tower of London, steal one or more of the Crown Jewels and escape. This is no easy task. The Jewels are housed in the White Tower in the centre of the Fortress. The White Tower is surrounded by walls and towers, beyond which, on the north, east and west sides, lies an uncrossable moat. To the south is the River Thames.&#10;Security within the Tower of London is such that you cannot bring anything with you which might asssist you. All the equipment necessary must be gathered while you move around inside the Tower of London looking like an innocent visitor. You may wish to attempt the challenge individually or in teams.&#10;&#10;";1992;4.96313;1.8966;2;6;45;8;Murder / Mystery
1149;Dragon Strike;"Dragon Strike has similar game play to Milton Bradley's HeroQuest.&#10;&#10;One player acts as the &quot;Dragon Master&quot; (i.e., the DM) and controls the placement, movement, and action of the villains.  The rest of the players control one of five different hero types (Warrior, Wizard, Thief, Elf, or Dwarf) and attempt to complete various adventure goals.  Dragon Strike takes the HeroQuest game play and goes a step further in a few directions:&#10;&#10;1) The Wizard and Elf have more spells at their disposal and a greater variety to choose from,&#10;&#10;2) Dragon Strike comes with 4 different game boards (vs. HeroQuest's single board), one of which is outdoors,&#10;&#10;3) a slightly more advanced combat system which uses different polyhedral dice (instead of all six-siders) and has concepts like flying creatures which can only be hit with spells and missile weapons, and&#10;&#10;4) a (cheezy) 30 minute VHS video tape which introduces players to the game and sets the &quot;mood&quot; for playing.&#10;&#10;";1993;6.37611;2.3091;2;6;60;10;Adventure, Exploration, Fantasy, Fighting, Miniatures
1151;Money, Power, Respect;"From the Publisher/Designer:&#10;&#10;Game that targets the urban market.  The game is similar to Monopoly and Life.  You have the ability to purchase luxury homes, automobiles and businesses.&#10;&#10;";2000;0.0;0.0;2;6;90;8;Negotiation
1155;Capitol;"&quot;Architects of the Eternal City&quot;.&#10;&#10;Rivalry in old Rome for the most spectacular buildings and dominance in the Roman prefectures. Whoever uses the 90 blocks and 40 roofs best will win. There are four rounds to a game: Each round has a building phase, an auction phase, a scoring phase and a card drawing phase. In the building phase, players decide on the height of the buildings and build them at the side of the board; if they have the necessary permit, they can build on the board itself. A building is finished when it has a roof; the first roof in a prefecture determines the shape of all other roofs. In the auction phase players can auction for temples, wells and amphitheaters, earning extra points. This is a beautiful production.&#10;&#10;This game by Alan R. Moon and Aaron Weissblum is a mix of territory acquisition, resource management and even a little auctioning thrown in for good measure. So-called &quot;Architects of the Eternal City&quot;, compete in old Rome for the most spectacular buildings and dominance in the Roman prefectures. Whoever uses the 90 blocks and 40 roofs most effectively to secure points will win.&#10;&#10;";2001;6.79503;2.6386;2;4;60;10;Ancient, City Building
1157;Save Doctor Lucky;"It is April 14, 1912.  You have accompanied the good Dr. Lucky on the maiden voyage of the Titanic.  As the ship is sinking, you must frantically save the old man, but he firmly believes his good luck will save him, and he rebuffs your attempts to help as he continues to meander through the passageways of the doomed liner.  Someday, you will kill him for his stubbornness, but tonight, you must Save Doctor Lucky.&#10;&#10;In this clever twist on the original Kill Doctor Lucky, players move around a sinking ocean liner trying to collect items that help to save the good old Doctor Lucky. It wouldn't be too hard, except all the other players are trying to stop you by playing failure cards.&#10;&#10;Sequel to:&#10;&#10;    Kill Doctor Lucky&#10;&#10;&#10;Expanded by:&#10;&#10;    Save Doctor Lucky on Moon Base Copernicus&#10;    The Doctor Lucky Ambivalence Pack&#10;&#10;&#10;";2000;5.84769;1.4894;3;7;30;10;Bluffing, Murder / Mystery, Nautical, Print & Play
1159;Evo;"217,453,883 years, seven months and 26 days before our time, the first dinosaurs left their home in the sea and climbed onto the land. The ever-changing climate was their first adversary, forcing them to remain constantly on the move. But weather was not their only problem. In order to survive and flourish, they had to evolve, and to do it quickly!&#10;&#10;In Evo, you control the survival and evolution of a species of dinosaurs called Dinos. You guide their migrations to temperate climates, you acquire the perfect genes to develop your Dinos and mutate them, and you push out other creatures that have yet to learn the meaning of the term &quot;dominant species&quot;. At the end of the game, you and your Dinos will not be the winners unless you've evolved more quickly and successfully than everyone else.&#10;&#10;Each turn is divided into six phases, in which Dinos move, fight, reproduce and evolve to ensure that their species has the characteristics to survive the various perils of  prehistoric life. Players earn and spend mutation points to adapt their species for survival &ndash; but don't spend all of them as the remainder are counted to determine the winner.&#10;&#10;With every round of play a meteor moves one step closer to earth. When the meteor strikes (determined partly by dice), the game ends!&#10;&#10;";2001;6.85697;2.34;3;5;120;12;Animals, Prehistoric, Science Fiction
1161;Perquackey;"Perquackey is the &quot;other&quot; three minute word game.  You roll ten dice (thirteen if you have 2000 points) and must make words of three letters or more.  You can only use a form of a word once, and are limited to five of any length.  After the time is up, you score points for each word on your list, plus bonus points for filling consecutive groups (100 bonus points for five 3-letter words and five 4-letter words).  The game is to 5000, but that's easy to do in three or four turns.  You can only re-roll if you get no vowels, or all vowels.  A good quick word game, and best in  a small group.&#10;&#10;Perquackey is a word dice game.&#10;&#10;";1956;6.03488;1.5789;2;6;20;7;Dice, Word Game
1163;Ciao, Ciao...;"According to the rules, &quot;the coolest player wins&quot;. This is a bluffing game in which players try to move their pawns safely across a bridge. The bridge spans a swamp full of hungry, carnivorous plants (the inside of the game box). This tiny boardgame is contained within the box &mdash; the box is entirely covered, inside and out, with the riotous, hungry swamp. A secret dice mechanism provides opportunity for skillful bluffing. A sharp little game.&#10;&#10;Ages 10 and up.&#10;&#10;";1997;6.0004;1.0952;2;4;30;10;Bluffing, Dice
1165;Delfino;"The game has 25 large tiles showing a dolphin leaping from the water. The dolphin's beak and tail occupy two corners, the dorsal fin a third. A grid is laid out 5x5 (or smaller depending on players), and players have a half sphere token and a die to show their points score. The players roll a larger die and move their marker about the tiles, rotating the one they laid on clockwise. When 4 tiles are made to point together, the player scores a point and 5 points wins. Players can also move tiles into stacks.&#10;&#10;Nice components and an interesting game, but it may lock up.&#10;&#10;";1989;4.43333;1.0;2;4;45;10;Abstract Strategy
1167;Flower Power;"From the English translation:&#10;&#10;This is an uncommon race. The object is to collect lots of flowers and land on bloom spaces. However, the choices of your friends influences your movement. And just collecting flowers does not help because you must pick your place.&#10;&#10;";1998;6.20849;1.0;2;6;10;10;Bluffing, Racing
1169;Geisterstunde;"Boooooo! In Castle Creepystone, the ghosts are restless. As soon as the clock strikes twelve, the ghosts begin their dance. They scurry all about the Great Hall, only to run into a a room. However, there seem to never be enough rooms for all the ghosts. And when the Witching Hour is over, a ghost not in a room vanishes.&#10;&#10;Bits:&#10;1 Board&#10;15 ghosts&#10;2 Dice&#10;10 mirrors&#10;&#10;Object: &#10;The board shows the castle Creepystone with eleven rooms. Leading to the rooms is the Great Hall (around the perimeter of the board.) Over this, the ghosts run around trying to make it into rooms.  Ghosts can takes shortcuts across the carpets to quicken their rush into rooms.&#10;&#10;";1997;5.77895;1.0;2;6;30;6;Children's Game
1171;Ricochet;"Put your reflexes to the test in this full-tilt action card game! Follow the pinball as it zooms and zips from bumper to bumper. Use number and color cues to figure out which card it will bounce to next. Spot the last place the ball will go, and you win the card. The player with the most cards is the pinball wizard!&#10;&#10;There are 4 numbers on the card and players search for the fifth number of that sequence. The card are drawn and players start to search the number at the same time. The first to find the solution tells it and gets the card if it was correct. At the end of the game the player with the most cards wins.&#10;&#10;";1996;5.73605;1.2857;2;5;10;10;Card Game, Math, Number, Puzzle, Real-time
1173;Millionenspiel;"There is only one pawn for all the players. It will move around the circular track with every roll of the dice. Players win or lose money depending which color space the pawn lands on. Betting on where the pawn lands is the essence of the game.&#10;&#10;";1982;5.7265;1.1667;3;5;45;10;Dice
1175;Movies and Money;"extrapolated from rules:&#10;&#10;Movies &amp; Money &#10;A game for 2 &ndash; 4 players&#10;Ages 8 and up&#10;Manufactured by Jumbo&#10;&#10;Game materials &#10;Game board&#10;25 miniature screens &#10;25 movie cards &#10;6 Golden Suns &#10;2 special dice &#10;Play money&#10;&#10;Preparation&#10;Place the board on the table. Each player sits on one side of the board. The red, green, yellow or blue strip at the board&rsquo;s edge determines the color each player uses.&#10;&#10;A player is chosen to be banker. He distributes to each player 1 million dollars (5 x $10,000; 3 x $50,000; 3 x $100,000; 2 x $250,000). He puts the remaining money beside the board and administers it separately from his own money.&#10;&#10;The 25 movie cards are mixed thoroughly and a card is put face down on each board space.&#10;&#10;The 25 miniature screens and the 6 Golden Suns are put beside the board.&#10;&#10;Everyone throws the numbered die once. The player with the highest result (the star equals 6) begins. The game proceeds after him clockwise.&#10;&#10;Play, phase 1 &#10;On his turn, a player throws both dice. The intersection of the column (number-die) and row (letter-die) determines a board space. If the movie card on this space is face down, the player can and should buy this space with this card. He pays $10,000 to the bank and turns the card face up. Now, a miniature screen is put on this space. The player takes a screen from the reserve and puts it on the space so that his color appears through the two gaps in the framework of the screen.&#10;&#10;Finally, the acquired movie card is put into the screen, face up.&#10;&#10;Play, phase 2&#10;As soon as all 25 movie cards are owned and face up in miniature screens on the board, the second game phase begins. Now movie cards can change hands.&#10;&#10;Debts and bankruptcy&#10;If a player must pay a sum and no longer has sufficient cash, he must sell his movie cards and/or Golden Suns. The player chooses what he would like to sell. The bank pays the sums printed on the cards, and Golden Suns fetch the same amount. Sold movie cards are turned face down again, and the screens and Golden Suns go back to the reserve. How-ever, the bank only takes back cards and Golden Suns if a player is insolvent.&#10;&#10;A player who cannot settle his debts must declare bankruptcy. He gives all his remaining cash, miniature screens and Golden Suns back to the bank. The movie cards are turned face down again. The player retires from the game. If movie cards are turned face down in the second game phase, the game returns to the first game phase. Therefore, takeovers of movie cards that belong to other players cannot take place.&#10;&#10;Negotiations &#10;All players are allowed to negotiate with other players anytime, even if it is not their turn. Movie cards may be bought, sold or traded. Players can also negotiate in order to pay debts. They need not necessarily sell to the bank if they receive better purchase offers from players.  Players can also negotiate whether owed sums on opponents&rsquo; movie cards can be reduced or even free of charge.&#10;&#10;Ending the game&#10;The game is over when only one player remains. He is king of Hollywood!&#10;&#10;&#10;";1979;3.42855;1.0;2;4;45;8;
1177;Die Ritter von der Haselnuss;"Publisher summary (user edited): Die Ritter von der Haselnuss is a memory game, where the squirrel has to collect and store nuts for the winter.&#10;&#10;Gameplay: The player whose turn it is throws a die and moves the squirrel knight according to the number shown - but he can chose which way on the board he moves. If a player lands on a bush he can pick up a card - will he get a nut or does the bush hide a fox or some other animal? With a good memory the players can protect themselves from the nut thief ... otherwise they will lose all the nuts they have collected.&#10;&#10;Die Ritter von der Haselnuss is a game suitable for the youngest players in the family, with easy rules and short playing time.&#10;&#10;";1996;5.89227;1.1;2;4;30;6;Animals, Children's Game, Memory
1179;Tendix;"PROCESS OF GAME&#10;The player whose turn it is draws one tile from the bag and places it on any free space.&#10;The colour on top is decisive for the effect of the tile. All tiles in the distance that corresponds to the colour (straight line) are turned upside down. Diagonal distances do not count here. Violet (zero) up means of course that nothing is turned. Only a just placed tile can have an effect, there are no chain reactions.&#10;Example: If I lay down a tile with orange up, all tiles that are exactly two spaces away from that tile are turned around, but not those who are one or more than two spaces away. The games lasts until all tiles are placed and the board is completed.&#10;&#10;from the rules translation&#10;OBJECT OF THE GAME&#10;At the end of the game every player counts separately the number of tiles showing his two colours on the top. Now he subtracts the lower number from the higher one. That is his final result.&#10;Example: With red and green as my colors, eight red tiles are tying up and three green ones. Thus I have five points.&#10;If the final result, of two players is the same, the player with more tiles up (sum of the two colours) wins the game.&#10;&#10;";1998;5.5625;2.0;2;3;45;0;
1181;Tschau Knacki;"A board game using combinations of cards, players try to get their man over the wall and allow him to get away &#10;while being pursued by the keeper.&#10;&#10;";1996;3.44444;0.0;3;4;60;9;Card Game
1183;Walkabout;"A hike in the Australian Outback&#10;&#10;Players must construct the landscape. Roll out the board and place the bits on the board. Advanced players may add other objects, like dry moss, other animals, or stranger things.&#10;&#10;Each player projects themselves into the game board in a spot. He imagines himself in that position at a certain facing. The object is to report his position on the board.&#10;&#10;He does not speak but instead draws a sketch of what he sees on the notepad. The sketch is marked with his name.&#10;&#10;The sketches are all then turned up. Each player takes the little maps of the game board and locates each player on the map. Also draw an arrow to indicate the facing.&#10;&#10;Speed is good. The first player to slap his guess face down gets bonus points.&#10;&#10;";1996;5.9375;0.0;3;6;0;6;Deduction
1185;Casablanca;"Players move around the board, trying to reach a symbol that corresponds with the symbol on the currently revealed card. If a player reaches that symbol, he gains the card. The bigger the amount of cards with the same symbol the player has, the more money is gained.&#10;&#10;The twist: movement is done by selecting chit, checking the back for a number, and moving however far you want to move, without revealing the actual number to the opponents. The opponents then have to accept your move or challenge the number on your chit.&#10;&#10;If they challenge the number, the player may either confess to cheating and pay a nominal fine or start a poker like bidding system in which the challenger must match his bid before he can see the chit.&#10;&#10;";1977;5.18421;1.5;2;4;30;0;Bluffing
1187;The Fellowship of the Ring;"The Fellowship of the Ring is a wargame centered on the action of the first book of the Lord of the Rings by J. R. R. Tolkien.  One player plays the Fellowship, deploying Heroes in an attempt to misdirect and deceive the other player, who plays Sauron with control of the evil Nazg&ucirc;l and Balrog. It takes many of the ideas from the character game of SPI&rsquo;s War of the Ring and expands upon them.&#10;&#10;";1983;6.1998;3.5745;2;2;240;13;Fantasy, Wargame
1189;The King's War: The First English Civil War 1642-1646;"A strategic game about the English Civil War.&#10;&#10;This game uses a point-to point system for movement. The counters represent infantry and cavalry regiments of resp. 1000 foot and 700 horse. The leader counters represent leaders of both factions, each leader has its own unique ratings for seniority, army handling, movement and tactical skills.&#10;&#10;The map shows Wales, England and a small part of Scotland.&#10;Aim of the game is to force the other side below 50 Victory Points. This can be done by conquering certain key cities and the counties.&#10;Sequence of play is easy and only contains 3 separate phases: Movement (incl. interceptions, break contact, combat and training of units), Siege and the Desertion &amp; Recruitment phase.&#10;&#10;";1989;7.09682;3.4;2;2;240;12;Civil War, Pike and Shot, Wargame
1191;Card Caper;"Each player is dealt a Hidden Card to begin.  The object is to accumulate points by deducing the opponents' Hidden Card as quickly as possible.  Next, each player is dealt an equal portion of the remaining deck, and must give information to the opponents; s/he must lay down a card of Higher Value, Lower Value, Different Value, and Different Suit.  Players are given notepads in the style of Clue to make notes about what cards are played, and what can't be the Hidden Card of each player. Then, each player takes it in turn to roll the die, and either reveal more information, or guess at the identity of an opponents' card.  Wrong guesses give no penalty, so you may as well try.  If you're right, you get one point for each card remaining in that player's hand.  This creates reverse suspense: players race to be first, because cards are dropped each round, and five points for last with a Hidden Card unguessed isn't enough to overcome someone who nailed two Hidden Cards early on.  After everyone has revealed their card, whoever has the most points wins.&#10;&#10;";1997;4.88646;1.0;2;4;30;8;Card Game, Deduction, Memory
1193;The Bottom Line;"The idea of The Bottom Line is to accumulate $5,000,000 and land on the Bank, so as to buy it.  Not as easy as it sounds.  You have $1,000,000 cash, $2,000,000 in debt and 2000 oz. of gold to begin. There are several different businesses, and you can buy parts of them for anywhere from $100,000 each for Residentials, to $600,000 for Casinos.  When someone lands on a property you own, you get $50,000 per property of the same kind you own.  But the big money comes when you collect a full set of property.  Land on a Drive-in Realtor and you can collect multiple millions for selling your set.  There are also Options, which allow you to buy lots from your opponents at nauseatingly low prices, and gold is bought for $600,000 a brick (or in that area) and sells for over $1 million.  Gold seems to be the fast way to money, but you must have the appropriate card, or you'll get fined $100,000.  As players get out of debt (or deeper in it), they will find themselves in a die-rolling race to land on the Bank, or square 17, which allows you to go anywhere you want.  A good finance game, but it was only printed for a year in America. Copies do pop up on eBay (where I got mine).&#10;&#10;";1985;5.50481;1.8333;3;6;90;10;Economic, Negotiation
1195;Cloudbusters;"A wargame set on a world where only high plateaus are habitable. The only way that people can get around is by airships. Each players starts with a small fleet of airships on a plateau in the corner of the map, and attempts to expand and conquer as many other plateaus as possible. Each captured plateau provides additional income (used for building more airships, and possibly also for buying extra movement dice) and a special ability token.&#10;&#10;";1998;6.33333;2.0;3;4;60;12;Science Fiction, Wargame
1197;Blink;"The two-minute-long, two-player card game Blink bills itself as the fastest game in the world. Without taking turns, players race to empty their hands by matching the color, shape, or number of symbols on their cards in hand to the top card of the two discard piles in the center of the table. As soon as a player lays down one card, they can draw another, up to the hand size of three cards. If both players can't play, they can both draw a card directly onto the discard pile at the same time and then continue play. The first player to empty their hand and draw pile wins.&#10;&#10;The rulebook includes variants for three- and four-player games.&#10;&#10;Blink: Bible Edition is the same game with Christian faith icons.&#10;&#10;";1995;5.94543;1.0656;2;3;10;7;Action / Dexterity, Card Game, Children's Game, Real-time
1199;Hocus Focus;"The games consists of 30 cards each showing a wizard. The wizards are all different, being small, medium or large, and having different coloured shoes, cloaks, hats, and spells.&#10;&#10;Twelve cards are placed face up in the centre of the table, along with the face-down deck. One player turns over the card on top of the deck. All players now try to identify a card from the table which has nothing in common with the new card.&#10;&#10;";1998;4.94971;1.0;2;8;10;6;Action / Dexterity, Card Game, Children's Game, Deduction, Puzzle
1201;Game, Set, Match!;"4 variants to chose from, they all relly on cards that have 4 different objects in 4 different colors on them. In the course of the game cards are set next to one another following the placement rules. Whoever gets rid of their cards first wins.&#10;&#10;";1999;5.125;1.0;2;8;10;5;Card Game, Children's Game, Puzzle, Sports
1203;Witch Trial;"Players represent lawyers in this humorous, pseudo-Colonial courtroom trial card game.&#10;&#10;Each player attempts to prosecute victims and make money by winning the case. All lawyers pair a Suspect with a Charge card to represent the case they are prosecuting. However, money can also be made by defending the cases that other lawyers are working on. When a case comes to court, players add their Evidence cards, and make Motions and Objections, in order to sway the jury to their side. Then the case is either settled by plea bargain (an agreement by lawers to divide the case money) or by the jury (a 2D6 dice roll of 13 or more which includes all card modifiers played on this case). A fun game in which the lawyer with the most money wins.&#10;&#10;&#9;&#9;&#9;&#9;&#10;&#9;&#9;&#9;&#9;&#10;&#9;&#9;&#9;&#9;&#9;Awards&#10;    2001 Origins Award Nominee: Best Abstract Board Game&#10;    2001 Listed in GAMES Magazine's GAMES 100&#10;&#10;&#10;";2001;6.23818;1.6957;3;7;45;10;Card Game, Negotiation
1205;Luxor;"Players try to excavate the most valuable mummies from the pyramids by placing tiles into the vertical board.  Each match allows the player to manuver their explorers around the pillars.  Getting 3 scarabs in front of a pillar allows the excavation of a mummy.  Mummies excavated later in a pillar are more valuable than the earlier ones.&#10;&#10;";2001;6.15764;1.45;2;4;45;9;Ancient
1207;Big Deal;"Big Deal is a game of corporate business deals. Players are big investors (and I mean big - the smallest notes are $50 million and billions of dollars change hands) and wheeler-dealers.&#10;&#10;Players acquire shares in companies, primarily randomly (picked up as cards), but also possibly through purchase of other players' previous sales. To form the companies they must also acquire resources, which are bought from 4 sets. The pricing mechanism for these is like Palmyra and McMulti - each purchase increases the price and each sale decreases it. Once an appropriate set is acquired for a matching set of (at least two) shares in a company, the company can be formed. Companies pay income to their owners each turn. They can also be sold off at a premium, or split up (provided the owner has enough shares and resources) to gain double income. The real heart of the game comes in the option to conduct hostile takeovers. A player lays one or more shares in a company owned by another player and then starts a bidding war to takeover the company. Each player is bidding to buy the shares of the opponent (bids are per share). The &quot;winner&quot; gets the company and all the shares, the &quot;loser&quot; is paid off at the final bid price. Who is actually the winner and loser depends, of course, on the balance of the final price.&#10;&#10;There is a sudden death variable finish, when assets plummet in value, so there is a tense few final rounds when players can try to realize assets while they are still valuable. During this period the judgment of takeover prices becomes even more tricky (and a gamble).&#10;&#10;";2001;5.55558;3.0;2;6;120;12;Economic
1209;Pax Britannica: The Colonial Era 1880 to the Great War;"Pax Britannica is a Victorian Era multi player wargame of empire, diplomacy, and global confrontation. The Great Powers of United Kingdom, France, the US, Germany, Austria-Hungary, Italy, Russia, and Japan vie throughout the world for the wealth and esteem conferred by vast colonial holdings in the far-flung corners of the Earth. Each player maneuvers his administrative and military assets to establish control over the choicest and most strategic areas, keeping a wary eye toward encroaching opponents whose colonial ambitions are every bit as great. Conflict between national wills is more often resolved through peaceful negotiation than through war; but when national honor is too severely tried, war can occur- on a scale that threatens to evolve into the War to End All Wars!&#10;&#10;Time scale = 4 years per turn; Map scale = abstract; Unit scale = Corps/Fleet, Division/Task Force, Regiment/Squadron; Playing time = approx 4 to 7 hours.&#10;&#10;";1985;6.74813;3.8529;4;7;300;12;Negotiation, Political, Post-Napoleonic, Wargame
1211;Race Through Space;"A simple but enjoyable racing game with an ever-changing board (made of shifting tiles) and a few extra twists introduced by the special dice.&#10;Ages 6+&#10;&#10;Re-implemented by:&#10;&#10;     Marrakesh&#10;&#10;&#10;";1988;5.57457;1.1071;2;4;15;6;Children's Game, Nautical, Racing, Space Exploration
1213;Nuclear Escalation;"From the back of the box:&#10;A comical card game of nuclear confrontation involving nervous world powers and jittery diplomats. Everyone jockeys for domination (in self defense, of course), using propaganda, espionage, and meanwhile building space platforms (for peaceful purposes, of course). Diplomacy inevitably fails and the missiles start flying!&#10;&#10;The first expansion set for Nuclear War, this can also be played on its own.&#10;&#10;Integrates with:&#10;&#10;    Nuclear War&#10;    Nuclear Proliferation&#10;    Weapons of Mass Destruction&#10;&#10;&#10;";1983;6.57159;1.6024;2;6;30;10;Card Game, Modern Warfare, Negotiation, Political, Wargame
1215;Monkey Memory;"Where's the coconut? Excellent speed memory game, made for kids but will beat adults. There are two sets of cards showing ten objects, a camera, a ball, a coconut etc. Select 7 objects, lay one deck out for all to see, shuffle the other deck and draw one randomly and hide it. Then deal the remaining six cards face up very quickly and cover the last with your hand. Players must now determine which card was removed. Think it's easy? No it's not! And to make it harder, simply add another picture to the mix, then another.&#10;&#10;";2000;5.43182;1.0;2;9;10;5;Card Game, Children's Game, Memory
1217;The Secret Labyrinth;"Part of the Ravensburger Labyrinth Games series, it's Labyrinth transposed in a circular format, and with a rock-paper-scissors &quot;combat&quot; system added.  Most reviewers consider it disappointing when compared with the other games in the series.  The first player who captures (or steals from another player) seven treasures or seven trolls wins the game.&#10;&#10;";1998;4.78877;1.4375;2;4;30;10;Children's Game, Fantasy, Maze, Puzzle
1219;Labyrinth;"Labyrinth (formerly The aMAZEing Labyrinth) has spawned a whole line of Labyrinth games. The game board has a set of tiles fixed solidly onto it; the remaining tiles that make up the labyrinth slide in and out of the rows created by the tiles that are locked in place. One tile always remains outside the labyrinth, and players take turns taking this extra tile and sliding it into a row of the labyrinth, moving all those tiles and pushing one out the other side of the board; this newly removed tile becomes the piece for the next player to add to the maze.&#10;&#10;Players move around the shifting paths of the labyrinth in a race to collect various treasures. Whoever collects all of his treasures first and returns to his home space wins!&#10;&#10;Labyrinth is simple at first glance and an excellent puzzle-solving game for children; it can also be played by adults using more strategy and more of a cutthroat approach.&#10;&#10;";1986;6.40937;1.3401;2;4;20;8;Children's Game, Maze, Puzzle
1221;Crossed Wires;"Six telephones are placed around the board and connected over seven hexagonal tiles through a spaghetti-like maze of wires.  A die is rolled to determine a start phone. The players follow the tangled lines with their eyes -- no fingers, please!  The first player to figure out which telephones are connected wins a telephone chip, and the first player to collect six chips wins the game.&#10;&#10;A &quot;perceptual dexterity&quot; game for Ages 6-12.&#10;&#10;";1993;5.01422;1.1667;2;4;20;6;Children's Game, Maze, Puzzle
1223;Fat Cats;"Age 10+&#10;The players simultaneously bet on meal cards; if you bet correctly (i.e. nobody else bet on that particular meal), you move up around the table, closer to the softest cushion (and victory).  The heftier the meal, the more you advance.  Some of the meal cards have a ghost on their back; if you win one of those, you move back instead of forward.  You also have a silver platter; you can use that to send the ghost to another cat --but he'll then have the silver platter for later, and you won't...&#10;&#10;One final note: when multiple players bet on the same meal, their betting tokens remain on the card for the next betting round --this mechanic forces the implicated players to choose something else, and can signal an opportunity for the lone player to be in a position to bet on that meal...&#10;&#10;Simple and fast playing.&#10;&#10;";1993;5.32857;2.0;3;6;20;10;Children's Game
