id;name;description;year;rating;complexity;clean_description
73;Show Manager;"The players put together four shows in any order.  To accomplish this, players draft actor cards from a constantly changing queue of cards.  Each card represents actors of varying skills at roles.  Once a player puts together all the needed roles for a show, the value is judged against all the other productions of that type, with points given relative to the other productions.&#10;&#10;This is a Queen Games reprint of the db-Spiele original, Premiere.&#10;&#10;";1996;6.9808;2.0938;player show order accomplish player draft actor card constantly change queue card card represent actor vary skill role player put need role value judge production type point give relative production queen game reprint db spiele original premiere
75;Falling;"This game is from an odd genre, real-time card games.  Each of the players (except the dealer) is a person falling to his death.  The goal is not to live, rather just to be the last one to go splat.  The dealer continues dealing cards to players, eventually giving them 'ground' cards.  But on the way down players can do all kinds of nasty stuff to each other to ensure their relative longevity.&#10;&#10;";1998;5.50586;1.218;game odd genre real time card game player dealer person fall death goal live splat dealer continue deal card player eventually give ground card way player kind nasty stuff ensure relative longevity
77;EastFront: The War in Russia, 1941-45;"EastFront details the conflict between Germany and the Soviet Union during WWII.  Players have to contend with production, supply, command control and whether to try and break the other side's lines.  Several scenarios cover every major point of the war.  The game comes with a fantastic, detailed map of Eastern Europe and Russia printed on cardstock and many wooden blocks for the units.  This is a stand alone game that can also serve as one element of the complete EuroFront series which covers the entire European conflict of WWII.&#10;&#10;This title uses the Columbia Games Block system.  While there are variations in the rule sets, all of the &quot;Front&quot; series of games are based on the block system.  Basically this means that rather than using traditional counters to represent units on the map the game uses wooden blocks that stand upright with unit details only shown on one side.  This accomplishes two things:  First it provides an easy way of producing a &quot;fog of war&quot; because your opponent cannot tell, save through good memory or deduction, what type of unit a specific piece is or its current strength.  Second, having the blocks stand on end allows the possibility of rotating a block so the current strength is the top number.  Although most war games have some type of mechanism that allows units to take losses in steps of their overall strength, counters normally have at most two steps because they only have two sides.  Blocks, however, have four so you can easily keep track of twice the amount of detail that many other war games provide.&#10;&#10;With the use of blocks, Columbia has provided a way of adding a good deal of depth to their war games without adding complex layers of bookkeeping, allowing interesting and relatively short sessions of play.&#10;&#10;";1991;7.67256;3.6;eastfront detail conflict germany soviet union wwii player contend production supply command control try break s line scenario cover major point war game come fantastic detailed map eastern europe russia print cardstock wooden block unit stand game serve element complete eurofront series cover entire european conflict wwii title use columbia games block system variation rule set quot quot series game base block system basically mean traditional counter represent unit map game use wooden block stand upright unit detail show accomplish thing provide easy way produce quot fog war quot opponent tell save good memory deduction type unit specific piece current strength second have block stand end allow possibility rotate block current strength number war game type mechanism allow unit loss step overall strength counter normally step side block easily track twice detail war game provide use block columbia provide way add good deal depth war game add complex layer bookkeeping allow interesting relatively short session play
79;MedFront: War in North Africa 1940-43;"MedFront details the conflict between the Allies and Germany during WWII from 1940-43, as well as the Spanish Civil War from 1936-39. Players have to contend with production, supply, command control and the weather to break the other side's lines and achieve victory.  The game comes with a fantastic detailed map of Spain and North Africa printed on card and many wooden blocks for the units. This is just one portion of the complete EuroFront series, which covers the entire European conflict of WWII.&#10;&#10;This title uses Columbia Games Block system.  While there are variations in the rule sets, all of their games are based on the block system.  Basically this means that rather than using the traditional  counters to represent units on the map the game uses wooden blocks that stand upright with unit details only shown on one side.  This does two things:  First it provides an easy way of producing a &quot;fog of war&quot; because your opponent can not tell, save through good memory, what type of unit a specific piece is or its current strength.  Second, having the blocks stand on end allows the possibility of rotating a block so the current strength is the top number.  Although most war games have some type of mechanism that lets units take steps in their overall strength, counters normally have at most two steps because they only have two sides.  Blocks, however, have four so you can easily keep track of twice the amount of detail that many other war games provide.  With the use of blocks Columbia has provided a way of adding a good deal of depth to their war games without adding complex layers of bookkeeping, allowing interesting and relatively short sessions of play.&#10;&#10;WestFront II: The War in Europe 1943-45 &#226;&#128;&#147; Second Edition includes updated MedFront maps and some Spanish units; EuroFront: The War in Europe, 1936-45 &#226;&#128;&#147; Second Edition has the updated MedFront rules (and the Spanish Civil War scenario and other Spanish units) for those maps.&#10;&#10;Expanded by:&#10;&#10;    EuroFront: War in Europe, 1939-45&#10;&#10;&#10;";1994;6.3375;3.0769;medfront detail conflict ally germany wwii spanish civil war player contend production supply command control weather break s line achieve victory game come fantastic detailed map spain north africa print card wooden block unit portion complete eurofront series cover entire european conflict wwii title use columbia games block system variation rule set game base block system basically mean traditional counter represent unit map game use wooden block stand upright unit detail show thing provide easy way produce quot fog war quot opponent tell save good memory type unit specific piece current strength second have block stand end allow possibility rotate block current strength number war game type mechanism let unit step overall strength counter normally step side block easily track twice detail war game provide use block columbia provide way add good deal depth war game add complex layer bookkeeping allow interesting relatively short session play westfront ii war europe second edition include update medfront map spanish unit eurofront war europe second edition update medfront rule spanish civil war scenario spanish unit map expand eurofront war europe
81;EuroFront: War in Europe, 1939-45;"EuroFront is a supplementary rules system that allows all of the Front games (EastFront: The War in Russia, 1941-45, WestFront: The War in Europe, 1943-45, MedFront: War in North Africa 1940-43 and possibly the VolgaFront: East of EastFront 1942-43 expansion) to be combined into one sprawling game that covers the entire European theater of WWII.  Rules are provided to link all the games together seamlessly and add units for neutral and minor powers in Europe.  Further, rules are provided so that simulate the political history and allow for the possibility that non-historical outcomes occur with respect to how minor powers react to the events of WWII.  Part of the EuroFront series.&#10;&#10;This title uses Columbia Games Block system.  While there are variations in the rule sets, all of their games are based on the block system.  Basically this means that rather than using the traditional  counters to represent units on the map the game uses wooden blocks that stand upright with unit details only shown on one side.  This does two things:  First it provides an easy way of producing a &quot;fog of war&quot; because your opponent can not tell, save through good memory, what type of unit a specific piece is or its current strength.  Second, having the blocks stand on end allows the possibility of rotating a block so the current strength is the top number.  Although most war games have some type of mechanism that lets units take steps in their overall strength, counters normally have at most two steps because they only have two sides.  Blocks, however, have four so you can easily keep track of twice the amount of detail that many other war games provide.  With the use of blocks Columbia has provided a way of adding a good deal of depth to their war games without adding complex layers of bookkeeping, allowing interesting and relatively short sessions of play.&#10;&#10;";1995;7.0875;3.6875;eurofront supplementary rule system allow game eastfront war russia westfront war europe medfront war north africa possibly volgafront east eastfront expansion combine sprawl game cover entire european theater wwii rule provide link game seamlessly add unit neutral minor power europe rule provide simulate political history allow possibility non historical outcome occur respect minor power react event wwii eurofront series title use columbia games block system variation rule set game base block system basically mean traditional counter represent unit map game use wooden block stand upright unit detail show thing provide easy way produce quot fog war quot opponent tell save good memory type unit specific piece current strength second have block stand end allow possibility rotate block current strength number war game type mechanism let unit step overall strength counter normally step side block easily track twice detail war game provide use block columbia provide way add good deal depth war game add complex layer bookkeeping allow interesting relatively short session play
83;Sam Grant: The Civil War in the West 1862-1864;"Sam Grant covers the western theater of the American Civil War around the Mississippi area from 1862-1864.  It comes with a beautiful card-stock map from Vicksburg to Cincinnati and heaps of wooden blocks for the North and South.  The game utilizes both a strategic layer of the conflict but also provides a slightly more tactical layer of combat with additional battle maps that allow for center, and flank positions of specific units.  The game can be combined with Bobby Lee so that both theaters of the Civil War can be played out at the same time.&#10;&#10;This title uses Columbia Games Block system. While there are variations in the rule sets for each of their games none the less all of their games are based on block system. Basically this means that rather than the traditional use of counters to represent units on the map the game instead uses wooden blocks that stand upright and with unit details only shown on one side of the blocks. This does two things: First it provides an easy way of producing a &quot;fog of war&quot; because your opponent can not tell, save through good memory, what type of unit a specific piece is and it&rsquo;s current strength. Second, by having the blocks stand on end it provides a way to keep track of a units strength by rotating the block so the current strength is the top number. Most war games have some type of mechanism that lets units take steps in their overall strength. Counters normally have at most two steps because of they only have two sides, however blocks have four and so now you can easily keep track of twice the amount of detail that many other war games provide. With the use of blocks Columbia has provided a way of adding a good deal of depth to their war games without adding further complex layers of bookkeeping and thus allow for interesting and relatively short sessions of play.&#10;&#10;All artwork and graphics in the game Sam Grant was created by RPG/Historical artist,  Eric Hotz.&#10;&#10;";1997;6.46667;2.8519;sam grant cover western theater american civil war mississippi area come beautiful card stock map vicksburg cincinnati heap wooden block north south game utilize strategic layer conflict provide slightly tactical layer combat additional battle map allow center flank position specific unit game combine bobby lee theater civil war play time title use columbia games block system variation rule set game game base block system basically mean traditional use counter represent unit map game instead use wooden block stand upright unit detail show block thing provide easy way produce quot fog war quot opponent tell save good memory type unit specific piece rsquo s current strength second have block stand end provide way track unit strength rotate block current strength number war game type mechanism let unit step overall strength counter normally step side block easily track twice detail war game provide use block columbia provide way add good deal depth war game add complex layer bookkeeping allow interesting relatively short session play artwork graphic game sam grant create rpg historical artist eric hotz
85;Quebec 1759;"Quebec 1759 is a small, simple and short block board-wargame covering the conflict between the British and the French in Canada during the French and Indian War. The game comes with a gorgeous map drawn in the style of the period. Movement is conducted via a point-to-point system following the roads and towns in the area around Quebec. The game comes with handfuls of blocks to represent the British and French units.&#10;&#10;This title uses Columbia Games Block system. While there are variations in the rule sets, all of their wargames are based on the block system. Basically this means that rather than using the traditional counters to represent units on the map the game uses wooden blocks that stand upright with unit details only shown on one side. This does two things:  First it provides an easy way of producing a &quot;fog of war&quot; because your opponent can not tell, save through good memory, what type of unit a specific piece is or its current strength. Second, having the blocks stand on end allows the possibility of rotating a block so the current strength is the top number. Although most war games have some type of mechanism that lets units take steps in their overall strength, counters normally have at most two steps because they only have two sides. Blocks, however, have four so you can easily keep track of twice the amount of detail that many other war games provide. With the use of blocks Columbia has provided a way of adding a good deal of depth to their war games without adding complex layers of bookkeeping, allowing interesting and relatively short sessions of play.&#10;&#10;";1972;6.96081;2.1149;quebec small simple short block board wargame cover conflict british french canada french indian war game come gorgeous map draw style period movement conduct point point system follow road town area quebec game come handfuls block represent british french unit title use columbia games block system variation rule set wargame base block system basically mean traditional counter represent unit map game use wooden block stand upright unit detail show thing provide easy way produce quot fog war quot opponent tell save good memory type unit specific piece current strength second have block stand end allow possibility rotate block current strength number war game type mechanism let unit step overall strength counter normally step side block easily track twice detail war game provide use block columbia provide way add good deal depth war game add complex layer bookkeeping allow interesting relatively short session play
87;Victory: World War II;"Victory: World War II, originally released as Victory: The Blocks of War, is a Block game published in 1998 by Columbia Games.  It is a generic war game played on modular maps with World War II units.  The game uses a stripped down Front system, with the whole command control element removed and simplified movement and unit production.  Block sets for blue and red players and maps 1 to 4 are included in the base game.&#10;&#10;There are many supplements available, including basic block sets for four additional colors (black, orange, green, and gray), ten-unit elite sets for each color, maps with various terrain, and a logistics expansion which provides a twist on production and adds other strategic elements to the game.&#10;&#10;Expanded by:&#10;&#10;    Victory: The Blocks of War &#226;&#128;&#147; Additional Blocksets&#10;    Victory: The Blocks of War &#226;&#128;&#147; Elite Blocksets&#10;    Victory: The Blocks of War &#226;&#128;&#147; Extra Maps&#10;    Victory: The Blocks of War &#226;&#128;&#147; Logistics Set&#10;&#10;&#10;Victory FAQ based on info in the rules forum here and elsewhere.&#10;&#10;Reimplemented by:&#10;&#10;    Victory: World War II &#226;&#128;&#147; Second Edition published in 2019. Includes the Logistics Set and elements from the Elite Blocksets. Maps 1, 2, 6 and 7 are included&#10;&#10;&#10;";1998;6.36799;2.5962;victory world war ii originally release victory block war block game publish columbia games generic war game play modular map world war ii unit game use strip system command control element remove simplified movement unit production block set blue red player map include base game supplement available include basic block set additional color black orange green gray unit elite set color map terrain logistics expansion provide twist production add strategic element game expand victory block war additional blockset victory block war elite blockset victory block war extra map victory block war logistic set victory faq base info rule forum reimplemente victory world war ii second edition publish include logistic set element elite blockset map include
89;Blue vs. Gray;"Blue vs. Gray is an interesting card-wargame that covers the whole span of the Civil War at the strategic level.  Each side has its own deck of cards which includes leaders, units and special actions and events.  Through the use of cards a map of the entire South slowly is revealed as the war progresses.  Players have to manage their forces through an elaborate command structure while watching the expenditure of their supply.  The entire game can be played in an evening and carried away in a player's pockets.&#10;&#10;~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~&#10;From GMT website :&#10;&#10;&quot;How many times have you said &ldquo;I would have done it differently?&rdquo; With Blue vs Gray: The Civil War Card Game now&rsquo;s your chance. Sack Beauregard and replace him with A.S. Johnston. Dump Hooker for Thomas. And never, ever let Stuart go joyriding.&#10;&#10;A CARD GAME THAT PLAYS LIKE A WARGAME&#10;~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~&#10;Corps, insignia, Divisions, flags, important events, civilians &amp; commanders - they're all here! Fight on an accurate map of America, made of cards, built up as you play. The people and events that made a difference in the War Between the States are on your front lines, making a difference in whether you win or lose. &#10;    &#10;NON-COLLECTIBLE AND PROUD OF IT&#10;~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~&#10;You get every card needed to play your side. (100 cards in the Northern deck and 100 cards in the Southern deck.) No elusive &ldquo;rare&rdquo; cards to ruin games, or drive up prices. How can you recreate the War without Jackson or Sherman ?&quot;&#10;&#10;";1999;6.73695;2.806;blue vs gray interesting card wargame cover span civil war strategic level deck card include leader unit special action event use card map entire south slowly reveal war progress player manage force elaborate command structure watch expenditure supply entire game play evening carry away player s pocket gmt website quot time say ldquo differently rdquo blue vs gray civil war card game rsquo s chance sack beauregard replace s johnston dump hooker thomas let stuart joyride card game play like wargame corps insignia division flag important event civilian amp commander fight accurate map america card build play people event difference war state line make difference win lose non collectible proud card need play card northern deck card southern deck elusive ldquo rare rdquo card ruin game drive price recreate war jackson sherman quot
91;Paths of Glory;"(from GMT Games' website:)&#10;&#10;They called it the Great War. In over four years of titanic struggle, the ancient Europe of Kings and Emperors tore itself to pieces, giving birth to our own violent modern age. The bloody battles fought in the trenches of the Western Front, the icy plains of Poland, the mountains of the Balkans, and the deserts of Arabia, shaped the world we know today. We are all orphans of the Great War.&#10;&#10;Paths of Glory: The First World War, designed by six-time Charles S. Roberts awards winner, Ted Raicer, allows players to step into the shoes of the monarchs and marshals who triumphed and bungled from 1914 to 1918. As the Central Powers you must use the advantage of interior lines and the fighting skill of the Imperial German Army to win your rightful 'place in the sun.' As the Entente Powers (Allies) you must bring your greater numbers to bear to put an end to German militarism and ensure this is the war 'to end all wars.' Both players will find their generalship and strategic abilities put to the test as Paths of Glory's innovative game systems let you recreate all the dramatic events of World War I.&#10;&#10;Components:&#10;&#10;     316 full-color die-cut counters:&#10;         176 5/8&rdquo; die cut counters&#10;         140 1/2&rdquo; die cut counters&#10;    &#10;     One 22x34&quot; full-color mapsheet showing most of Europe and the Near East&#10;     110 Strategy Cards&#10;     32-page Rule Book including sample game replay (21 pages of actual rules)&#10;     Two Player Reference Cards &#10;&#10;&#10;DESIGNER: Ted Raicer&#10;DEVELOPER: Andy Lewis&#10;ART DIRECTOR: Rodger B. MacGowan&#10;MAP ART: Mark Simonitch&#10;CARDS &amp; COUNTER ART: Mark Simonitch&#10;&#10;&#10;(BGG description:)&#10;&#10;Following in the footsteps of We the People, Hannibal: Rome vs. Carthage, Successors: The Battles for Alexander's Empire (First/Second Edition), and For the People, Paths of Glory utilizes a similar card-driven system.  The game covers WWI from its outbreak to American intervention and spans all of Europe and the Middle East.  Not only is the game innovative, but it also plays fast, usually within just an evening.&#10;&#10;While the game itself has all of the normal expectations of a wargame, with various units, CRT charts and period chrome, at heart the game rests within the card play.  Players are given a hand of cards to play out six sub-phases of a turn.  Each sub-phase allows for the use of a card or a pass with a minimal movement of units.  Each card has four possible uses: operational movement, strategic movement, special events, and replacement points.  The cardplay forces players to constantly make tough decsions as they feel that they need to do a little bit of everything but they can only do one thing at a time.  How you play your cards will decide to a large degree the outcome of the war.&#10;&#10;";1999;8.07738;3.854;gmt game website call great war year titanic struggle ancient europe king emperor tear piece give birth violent modern age bloody battle fight trench western icy plain poland mountain balkan desert arabia shape world know today orphan great war path glory world war design time charles s roberts award winner ted raicer allow player step shoe monarch marshal triumph bungle central power use advantage interior line fight skill imperial german army win rightful place sun entente power ally bring great number bear end german militarism ensure war end war player find generalship strategic ability test path glory s innovative game system let recreate dramatic event world war component color die cut counter rdquo die cut counter rdquo die cut counter x quot color mapsheet show europe near east strategy card page rule book include sample game replay page actual rule player reference card designer ted raicer developer andy lewis art director rodger b macgowan map art mark simonitch cards amp counter art mark simonitch bgg description follow footstep people hannibal rome vs carthage successor battle alexander s empire second edition people path glory utilize similar card drive system game cover wwi outbreak american intervention span europe middle east game innovative play fast usually evening game normal expectation wargame unit crt chart period chrome heart game rest card play player give hand card play sub phase turn sub phase allow use card pass minimal movement unit card possible use operational movement strategic movement special event replacement point cardplay force player constantly tough decsion feel need little bit thing time play card decide large degree outcome war
93;El Grande;"In this award-winning game, players take on the roles of Grandes in medieval Spain.  The king's power is flagging, and these powerful lords are vying for control of the various regions.  To that end, you draft caballeros (knights) into your court and subsequently move them onto the board to help seize control of regions.  After every third round, the regions are scored, and after the ninth round, the player with the most points is the winner.&#10;&#10;In each of the nine rounds, you select one of your 13 power cards to determine turn order as well as the number of caballeros you get to move from the provinces (general supply) into your court (personal supply).&#10;&#10;A turn then consists of selecting one of five action cards which allow variations to the rules and additional scoring opportunities in addition to determining how many caballeros to move from your court to one or more of the regions on the board (or into the castillo - a secretive tower). Normally, you may only place your caballeros into regions adjacent to the one containing the king. The one hard and fast rule in El Grande is that nothing may move into or out of the king's region. One of the five action cards that is always available each round allows you to move the king to a new region. The other four action cards vary from round to round.&#10;&#10;The goal is to have a caballero majority in as many regions (and the castillo) as possible during a scoring round. Following the scoring of the castillo, you place any cubes you had there into the region you secretly indicated on your region dial. Each region is then scored individually according to a table printed in that region. Two-point bonuses are awarded for having sole majority in the region containing your Grande and in the region containing the king.&#10;&#10;";1995;7.76386;2.9438;award win game player role grande medieval spain king s power flag powerful lord vie control region end draft caballero knight court subsequently board help seize control region round region score ninth round player point winner round select power card determine turn order number caballero province general supply court personal supply turn consist select action card allow variation rule additional scoring opportunity addition determine caballero court region board castillo secretive tower normally place caballero region adjacent contain king hard fast rule el grande king s region action card available round allow king new region action card vary round round goal caballero majority region castillo possible scoring round follow scoring castillo place cube region secretly indicate region dial region score individually accord table print region point bonus award have sole majority region contain grande region contain king
95;Igel Ärgern;"Translated literally, the title means &quot;Hedgehog Irking&quot; (or a bit more loosely, &quot;Annoying the Hedgehogs&quot;), but the game is usually referred to in English as &quot;Hedgehogs in a Hurry.&quot; This game gives players several wooden disks (the hedgehogs) to place in one of six rows.  During a turn, you roll a die, optionally move any of your hedgehogs one row left or right, then move any hedgehog (not necessarily yours!) in the row your rolled forward one space.  But watch out for black spaces; hedgehogs caught there can't continue moving until they're in last place.  The first player to get three of their four hedgehogs to the end of the board wins.  Some later versions of this game come with dozens of different variants to keep the game interesting.&#10;&#10;";1990;6.39253;1.378;translate literally title mean quot hedgehog irk quot bit loosely quot annoy hedgehog quot game usually refer english quot hedgehog hurry quot game give player wooden disk hedgehog place row turn roll die optionally hedgehog row leave right hedgehog necessarily row roll forward space watch black space hedgehog catch t continue move place player hedgehog end board win late version game come dozen different variant game interesting
97;Conquest of the Empire;"Conquest of the Empire is part of Milton Bradley&#039;s Gamemaster series.  It is set during the Roman Empire and depicts the struggle around the Mediterranean as rival factions attempt to take control of the empire.  Each player plays one of these factions and receives a Caesar figure, several general figures, and ships of a specific color.  Along with these leaders, players utilize a pool of generic units composed of infantry, cavalry, and catapults.  All game pieces are plastic figures.&#10;&#10;Players attempt to conquer their neighbors and build up cities and fortifications to increase production of wealth.  Players also may build road networks that allow for faster movement, by all armies.  Along the way players have to contend with rising inflation which makes military units more and more expensive.  Eventually through elimination one player pulls ahead for the win.&#10;&#10;Re-implemented by:&#10;&#10;    Eagle Games&#039;s Conquest of the Empire (2005)&#10;&#10;&#10;";1984;6.2972;2.5294;conquest empire milton bradley s gamemaster series set roman empire depict struggle mediterranean rival faction attempt control empire player play faction receive caesar figure general figure ship specific color leader player utilize pool generic unit compose infantry cavalry catapult game piece plastic figure player attempt conquer neighbor build city fortification increase production wealth player build road network allow fast movement army way player contend rise inflation make military unit expensive eventually elimination player pull ahead win implement eagle games s conquest empire
99;Fortress America;"Fortress America, originally part of Milton Bradley's Gamemaster series, depicts an alternate near-future in which all of the world attacks and invades the continental United States. From the west arrives hordes of Asian foes; from the south arrives a union of South American countries through Mexico, and from the east lands come legions of Soviets who have taken over all of Europe. America besieged has to rely on the remaining ground and air forces left in the country along with partisan uprisings to defend mom's apple pie.&#10;&#10;Up to four players can play Fortress America, one player being the U.S. and up to three others controlling the invading units from a particular direction. Being a near future scenario, the units in the game include conventional infantry, APCs, hovertanks, helicopters, bombers, US partisan units, and special &quot;Star Wars&quot; laser relay systems that fire from space.&#10;&#10;The game emphasizes combined arms in that players receive a bonus if infantry, mechanized, and air power are all used in a conflict. For the invading countries, all the units they receive for the game are given at the start so they must manage them wisely. The U.S., however, starts with a skeleton defense and builds up throughout the game through a random deck of cards. Further, the U.S. slowly builds up its Star Wars system, so the longer the invaders are delayed, the more powerful the U.S. becomes both conventionally and through its defense system.&#10;&#10;Reimplemented by:&#10;&#10;&#10;    Fortress America (2012)&#10;&#10;&#10;";1986;6.72174;2.6305;fortress america originally milton bradley s gamemaster series depict alternate near future world attack invade continental united states west arrive horde asian foe south arrive union south american country mexico east land come legion soviet take europe america besiege rely remain ground air force leave country partisan uprising defend mom s apple pie player play fortress america player u s control invade unit particular direction near future scenario unit game include conventional infantry apc hovertank helicopter bomber partisan unit special quot star war quot laser relay system fire space game emphasize combined arm player receive bonus infantry mechanized air power conflict invade country unit receive game give start manage wisely u s start skeleton defense build game random deck card u s slowly build star war system long invader delay powerful u s conventionally defense system reimplemente fortress america
101;Detroit-Cleveland Grand Prix;"This game is part of a family which includes Top Race, Daytona 500, and Formel 1.  Players are dealt a hand of cards which have movement numbers for one or more of the cars.  When a card is played, the cars are advanced the number of spaces indicated in order from top to bottom.  However, if the track is blocked, then that movement is lost, so the idea is to use the cards that help your opponents (which you'll likely have to play eventually) only when they won't be able to take advantage of the movement.&#10;&#10;";1996;6.77672;1.713;game family include race daytona formel player deal hand card movement number car card play car advance number space indicate order track block movement lose idea use card help opponent ll likely play eventually win t able advantage movement
103;Titan;"This classic game of the Fantasy Monster Slug-a-thon is a standby from the The Avalon Hill Game Co of yore.  The game still has a very devoted following, which is a tribute to the depth of the various strategies and approaches.  The game is divided into two realms, the masterboard and the battleboards.  On the masterboard, legions of mythical creatures roam about trying to recruit bigger and badder monsters and kill opposing legions in the process.  When a combat occurs, the action moves to the corresponding battleboard type corresponding to the area the fight is taking place in.  After lots of dice are tossed, the army that remains standing is returned to the masterboard with the spoils of war: points.&#10;&#10;The points are used to recruit Angels and Archangels and to augment the leader character of the player's army: The Titan.  As the points increase, the Titans become ever more powerful; at game end, the titan is able to kill most other character with a single blow. But be careful: If the Titan dies, the player is out of the game.&#10;&#10;The last Titan standing is the ruler of all, and winner of the game.&#10;&#10;";1980;6.96373;3.4642;classic game fantasy monster slug thon standby avalon hill game co yore game devoted following tribute depth strategy approach game divide realm masterboard battleboard masterboard legion mythical creature roam try recruit big badder monster kill oppose legion process combat occur action move correspond battleboard type correspond area fight take place lot dice toss army remains stand return masterboard spoil war point point recruit angel archangel augment leader character player s army titan point increase titans powerful game end titan able kill character single blow careful titan die player game titan standing ruler winner game
105;Colossal Arena;"Colossal Arena/Titan:The Arena is a strategic card game for 2 to 5 players: you play, not as combatants, but as spectators, cheering and betting on the melee ongoing in a fantasy arena/colosseum in which fantasy creatures are pitted against each other in battle!&#10;&#10;Each round one of the creatures will die. To decide which unlucky soul will be the victim, players put numbered power cards in front of the creatures, with the lowest one going to the graveyard.  The jockeying for position and strategic diplomacy in playing the numbered power cards can be intense - but what makes this game even more interesting is that the players' place bets throughout the game which will sometimes allow them to use a creature's special power in battle!&#10;&#10;The winner at the end of the game is the bettor who's raked in the most winnings - just another day in the life of a fantasy monster gambler.&#10;&#10;Titan: The Arena is actually a reworking of a Reiner Knizia game called Grand National Derby, but The Avalon Hill Game Co's remake was quite significant from a gameplay standpoint.&#10;&#10;The Titan: The Arena printing is often confused with its namesake, Titan.  But other than the fact that they both use fantasy creatures as a general theme, there is very little that is similar between the two.&#10;&#10;Reimplemented by: Galaxy: The Dark Ages&#10;&#10;";1997;6.75866;2.0203;colossal arena titan arena strategic card game player play combatant spectator cheer bet melee ongoing fantasy arena colosseum fantasy creature pit battle round creature die decide unlucky soul victim player numbered power card creature low go graveyard jockeying position strategic diplomacy play numbered power card intense make game interesting player place bet game allow use creature s special power battle winner end game bettor s rake winning day life fantasy monster gambler titan arena actually reworking reiner knizia game call grand national derby avalon hill game co s remake significant gameplay standpoint titan arena printing confuse namesake titan fact use fantasy creature general theme little similar reimplemente galaxy dark age
107;Peaceful Resistance;"This small-publisher game comes with loads of wooden hex-shaped tiles, a hex board, and three pawns.  The object of the game is to move your pawn from one corner of the hex board to the opposite corner.  However, instead of taking your move, you can place a hex tile on the board.  These are used to block your opponent, because while your pawn can always go down any number of hex tiles, it can only step up one level at a time.&#10;&#10;";1995;5.72353;1.0;small publisher game come load wooden hex shape tile hex board pawn object game pawn corner hex board opposite corner instead take place hex tile board block opponent pawn number hex tile step level time
109;Wettstreit der Baumeister;"Jean du Po&#195;&#171;l put this game out on the market for about a year before the game's name was changed to Wettstreit der Baumeister in 1998.&#10;&#10;This translates to &quot;Contest of the Architects&quot;. The game has a beautiful assortment of large, thick tiles to represent the cities. Players bid on a single building tile every turn, with half the proceeds going to the auctioning player. When a player is ready to start construction of his city, the tiles are laid out in order with the single restriction that not two touching tiles are the same type. The building types are city halls, churches, towers, and gates. When the one of the two draw piles is exhausted, the cities are judged for symmetry, with the highest scoring city winning.&#10;&#10;Rules apply to either game:&#10;&#10;Within two decks of 20 cards are contained the City Wall, Towers and Gates, Churches, City Halls, etc. During play, one of the decks lies face up, the other face down. There are three parts to each player's turn. First, the player rolls a die in an attempt to better his finances (1 to 5 on the die; the sixth side gives a sabotage-counter instead). Second, he alone may look at the top hidden card before he makes an offer on either of the two top cards from the two decks. The other players then bid on the two cards. If the player (the Auctioneer) makes the highest bid, he may take the card and pay the bank. If, on the other hand, one of the other players buys the card, that player pays half the money to the bank and half to the Auctioneer. Third, a player may either build (lay down another card on his city) or sabotage a City Card of another player. The player receiving the sabotage must then pay the value of the card or remove it.&#10;&#10;The game ends when either of the decks is depleted.&#10;&#10;";1994;6.11169;1.9643;jean du po l game market year game s change wettstreit der baumeister translate quot contest architect quot game beautiful assortment large thick tile represent city player bid single building tile turn half proceed go auction player player ready start construction city tile lay order single restriction touching tile type building type city hall church tower gate draw pile exhaust city judge symmetry high scoring city win rule apply game deck card contain city wall tower gate church city hall etc play deck lie face face part player s turn player roll die attempt better finance die sixth give sabotage counter instead second look hide card make offer card deck player bid card player auctioneer make high bid card pay bank hand player buy card player pay half money bank half auctioneer player build lie card city sabotage city card player player receive sabotage pay value card remove game end deck deplete
111;Rheinländer;"This Reiner Knizia game, produced by Hasbro&#039;s European division, casts players in the roles of dukes who are trying to establish duchies along the banks of the Rhine River.  Players hold a hand of cards that correspond to numbered plots on each bank, and they place knights in open plots for which they hold the corresponding cards.  After establishing duchies, players attempt to expand them to include more plots of land, as well as buildings - such as castles, cathedrals, and cities. These buildings both add to the value of a duchy and provide their owners with advantages during game play.  Combined with a uniquely Knizia-style scoring system, this game has some very interesting dynamics.&#10;&#10;";1999;6.6552;2.3139;reiner knizia game produce hasbro s european division cast player role duke try establish duchy bank rhine river player hold hand card correspond numbered plot bank place knight open plot hold correspond card establish duchy player attempt expand include plot land building castle cathedral city building add value duchy provide owner advantage game play combine uniquely knizia style scoring system game interesting dynamic
